"Fact","Fact Note","North Kingstown town, Washington County, Rhode Island","Value Note for North Kingstown town, Washington County, Rhode Island"
"Population Estimates, July 1, 2022, (V2022)","","27,802",""
"Population estimates base, April 1, 2020, (V2022)","","27,738",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.2%",""
"Population, Census, April 1, 2020","","27,732",""
"Population, Census, April 1, 2010","","26,486",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","19.4%",""
"Persons 65 years and over, percent","","20.6%",""
"Female persons, percent","","51.3%",""
"White alone, percent","","91.3%",""
"Black or African American alone, percent","(a)","0.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","2.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","4.8%",""
"Hispanic or Latino, percent","(b)","3.5%",""
"White alone, not Hispanic or Latino, percent","","89.0%",""
"Veterans, 2017-2021","","1,820",""
"Foreign born persons, percent, 2017-2021","","4.4%",""
"Housing units, July 1, 2022, (V2022)","","X",""
"Owner-occupied housing unit rate, 2017-2021","","79.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$394,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$2,268",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$902",""
"Median gross rent, 2017-2021","","$1,103",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","11,169",""
"Persons per household, 2017-2021","","2.46",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","92.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","6.2%",""
"Households with a computer, percent, 2017-2021","","96.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","95.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","96.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","48.7%",""
"With a disability, under age 65 years, percent, 2017-2021","","6.0%",""
"Persons without health insurance, under age 65 years, percent","","2.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","66.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","60.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","50,761",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","162,963",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","68,612",""
"Total retail sales, 2017 ($1,000)","(c)","648,947",""
"Total retail sales per capita, 2017","(c)","$24,724",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.8",""
"Median household income (in 2021 dollars), 2017-2021","","$104,026",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$52,035",""
"Persons in poverty, percent","","6.6%",""
"Total employer establishments, 2021","","X",""
"Total employment, 2021","","X",""
"Total annual payroll, 2021 ($1,000)","","X",""
"Total employment, percent change, 2020-2021","","X",""
"Total nonemployer establishments, 2020","","X",""
"All employer firms, Reference year 2017","","823",""
"Men-owned employer firms, Reference year 2017","","430",""
"Women-owned employer firms, Reference year 2017","","154",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","666",""
"Veteran-owned employer firms, Reference year 2017","","68",""
"Nonveteran-owned employer firms, Reference year 2017","","582",""
"Population per square mile, 2020","","642.4",""
"Population per square mile, 2010","","614.0",""
"Land area in square miles, 2020","","43.17",""
"Land area in square miles, 2010","","43.14",""
"FIPS Code","","""4400951580""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
