"Fact","Fact Note","Hendersonville city, Tennessee","Value Note for Hendersonville city, Tennessee"
"Population Estimates, July 1, 2022, (V2022)","","62,896",""
"Population estimates base, April 1, 2020, (V2022)","","61,792",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","1.8%",""
"Population, Census, April 1, 2020","","61,753",""
"Population, Census, April 1, 2010","","51,372",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","22.9%",""
"Persons 65 years and over, percent","","15.7%",""
"Female persons, percent","","53.3%",""
"White alone, percent","","84.5%",""
"Black or African American alone, percent","(a)","9.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent","(b)","4.7%",""
"White alone, not Hispanic or Latino, percent","","82.8%",""
"Veterans, 2017-2021","","3,543",""
"Foreign born persons, percent, 2017-2021","","5.3%",""
"Housing units, July 1, 2022, (V2022)","","X",""
"Owner-occupied housing unit rate, 2017-2021","","72.2%",""
"Median value of owner-occupied housing units, 2017-2021","","$304,200",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,716",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$558",""
"Median gross rent, 2017-2021","","$1,270",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","23,565",""
"Persons per household, 2017-2021","","2.57",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","85.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","7.1%",""
"Households with a computer, percent, 2017-2021","","97.6%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","93.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","94.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","39.6%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.2%",""
"Persons without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","69.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","65.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","158,883",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","382,339",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","36,168",""
"Total retail sales, 2017 ($1,000)","(c)","839,607",""
"Total retail sales per capita, 2017","(c)","$14,570",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","28.0",""
"Median household income (in 2021 dollars), 2017-2021","","$78,067",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$41,954",""
"Persons in poverty, percent","","7.1%",""
"Total employer establishments, 2021","","X",""
"Total employment, 2021","","X",""
"Total annual payroll, 2021 ($1,000)","","X",""
"Total employment, percent change, 2020-2021","","X",""
"Total nonemployer establishments, 2020","","X",""
"All employer firms, Reference year 2017","","1,222",""
"Men-owned employer firms, Reference year 2017","","638",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","943",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","921",""
"Population per square mile, 2020","","1,965.5",""
"Population per square mile, 2010","","1,637.6",""
"Land area in square miles, 2020","","31.42",""
"Land area in square miles, 2010","","31.37",""
"FIPS Code","","""4733280""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
