"Fact","Fact Note","Martinsburg city, West Virginia","Value Note for Martinsburg city, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","18,953",""
"Population estimates base, April 1, 2020, (V2022)","","18,781",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.9%",""
"Population, Census, April 1, 2020","","18,777",""
"Population, Census, April 1, 2010","","17,227",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","23.7%",""
"Persons 65 years and over, percent","","14.6%",""
"Female persons, percent","","53.8%",""
"White alone, percent","","75.8%",""
"Black or African American alone, percent","(a)","14.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","6.8%",""
"Hispanic or Latino, percent","(b)","4.9%",""
"White alone, not Hispanic or Latino, percent","","73.1%",""
"Veterans, 2017-2021","","1,471",""
"Foreign born persons, percent, 2017-2021","","2.7%",""
"Housing units, July 1, 2022, (V2022)","","X",""
"Owner-occupied housing unit rate, 2017-2021","","47.3%",""
"Median value of owner-occupied housing units, 2017-2021","","$164,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,292",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$384",""
"Median gross rent, 2017-2021","","$1,020",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","7,464",""
"Persons per household, 2017-2021","","2.45",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","75.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.9%",""
"Households with a computer, percent, 2017-2021","","91.7%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","86.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","87.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","23.6%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.9%",""
"Persons without health insurance, under age 65 years, percent","","11.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","62.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","55.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","93,111",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","399,650",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","70,778",""
"Total retail sales, 2017 ($1,000)","(c)","648,266",""
"Total retail sales per capita, 2017","(c)","$36,999",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","28.1",""
"Median household income (in 2021 dollars), 2017-2021","","$45,901",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$27,858",""
"Persons in poverty, percent","","24.3%",""
"Total employer establishments, 2021","","X",""
"Total employment, 2021","","X",""
"Total annual payroll, 2021 ($1,000)","","X",""
"Total employment, percent change, 2020-2021","","X",""
"Total nonemployer establishments, 2020","","X",""
"All employer firms, Reference year 2017","","510",""
"Men-owned employer firms, Reference year 2017","","205",""
"Women-owned employer firms, Reference year 2017","","111",""
"Minority-owned employer firms, Reference year 2017","","49",""
"Nonminority-owned employer firms, Reference year 2017","","328",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","347",""
"Population per square mile, 2020","","2,831.7",""
"Population per square mile, 2010","","2,591.7",""
"Land area in square miles, 2020","","6.63",""
"Land area in square miles, 2010","","6.65",""
"FIPS Code","","""5452060""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
