"Fact","Fact Note","Bristol town, Bristol County, Rhode Island","Value Note for Bristol town, Bristol County, Rhode Island"
"Population Estimates, July 1, 2022, (V2022)","","22,128",""
"Population estimates base, April 1, 2020, (V2022)","","22,488",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.6%",""
"Population, Census, April 1, 2020","","22,493",""
"Population, Census, April 1, 2010","","22,954",""
"Persons under 5 years, percent","","2.6%",""
"Persons under 18 years, percent","","13.4%",""
"Persons 65 years and over, percent","","22.0%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","93.4%",""
"Black or African American alone, percent","(a)","1.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","2.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent","(b)","2.1%",""
"White alone, not Hispanic or Latino, percent","","92.0%",""
"Veterans, 2017-2021","","1,199",""
"Foreign born persons, percent, 2017-2021","","11.1%",""
"Housing units, July 1, 2022, (V2022)","","X",""
"Owner-occupied housing unit rate, 2017-2021","","68.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$363,200",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$2,260",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$860",""
"Median gross rent, 2017-2021","","$1,170",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","8,065",""
"Persons per household, 2017-2021","","2.30",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","85.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","15.1%",""
"Households with a computer, percent, 2017-2021","","89.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","86.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","41.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","7.5%",""
"Persons without health insurance, under age 65 years, percent","","2.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","57.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","53.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","51,040",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","55,921",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","160,436",""
"Total retail sales per capita, 2017","(c)","$7,224",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.5",""
"Median household income (in 2021 dollars), 2017-2021","","$80,727",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$42,658",""
"Persons in poverty, percent","","6.4%",""
"Total employer establishments, 2021","","X",""
"Total employment, 2021","","X",""
"Total annual payroll, 2021 ($1,000)","","X",""
"Total employment, percent change, 2020-2021","","X",""
"Total nonemployer establishments, 2020","","X",""
"All employer firms, Reference year 2017","","530",""
"Men-owned employer firms, Reference year 2017","","404",""
"Women-owned employer firms, Reference year 2017","","59",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","476",""
"Veteran-owned employer firms, Reference year 2017","","32",""
"Nonveteran-owned employer firms, Reference year 2017","","454",""
"Population per square mile, 2020","","2,297.8",""
"Population per square mile, 2010","","2,336.4",""
"Land area in square miles, 2020","","9.79",""
"Land area in square miles, 2010","","9.82",""
"FIPS Code","","""4400109280""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
