"Fact","Fact Note","Kent County, Rhode Island","Value Note for Kent County, Rhode Island"
"Population Estimates, July 1, 2022, (V2022)","","171,275",""
"Population estimates base, April 1, 2020, (V2022)","","170,358",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.5%",""
"Population, Census, April 1, 2020","","170,363",""
"Population, Census, April 1, 2010","","166,158",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","18.0%",""
"Persons 65 years and over, percent","","20.6%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","90.4%",""
"Black or African American alone, percent","(a)","3.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%",""
"Asian alone, percent","(a)","3.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent","(b)","7.2%",""
"White alone, not Hispanic or Latino, percent","","85.0%",""
"Veterans, 2017-2021","","11,027",""
"Foreign born persons, percent, 2017-2021","","6.9%",""
"Housing units, July 1, 2022, (V2022)","","76,568",""
"Owner-occupied housing unit rate, 2017-2021","","70.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$264,900",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,910",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$769",""
"Median gross rent, 2017-2021","","$1,149",""
"Building permits, 2022","","226",""
"Households, 2017-2021","","71,737",""
"Persons per household, 2017-2021","","2.34",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","90.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","9.3%",""
"Households with a computer, percent, 2017-2021","","92.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","92.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","32.9%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.8%",""
"Persons without health insurance, under age 65 years, percent","","4.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","66.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","61.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","523,077",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","1,363,802",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","469,237",""
"Total retail sales, 2017 ($1,000)","(c)","3,554,648",""
"Total retail sales per capita, 2017","(c)","$21,720",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.6",""
"Median household income (in 2021 dollars), 2017-2021","","$79,880",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$43,050",""
"Persons in poverty, percent","","8.1%",""
"Total employer establishments, 2021","","4,678",""
"Total employment, 2021","","66,074",""
"Total annual payroll, 2021 ($1,000)","","3,649,634",""
"Total employment, percent change, 2020-2021","","-7.4%",""
"Total nonemployer establishments, 2020","","12,001",""
"All employer firms, Reference year 2017","","4,181",""
"Men-owned employer firms, Reference year 2017","","2,575",""
"Women-owned employer firms, Reference year 2017","","659",""
"Minority-owned employer firms, Reference year 2017","","182",""
"Nonminority-owned employer firms, Reference year 2017","","3,482",""
"Veteran-owned employer firms, Reference year 2017","","275",""
"Nonveteran-owned employer firms, Reference year 2017","","3,302",""
"Population per square mile, 2020","","1,010.7",""
"Population per square mile, 2010","","985.9",""
"Land area in square miles, 2020","","168.57",""
"Land area in square miles, 2010","","168.53",""
"FIPS Code","","""44003""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
