"Fact","Fact Note","Providence County, Rhode Island","Value Note for Providence County, Rhode Island"
"Population Estimates, July 1, 2022, (V2022)","","657,288",""
"Population estimates base, April 1, 2020, (V2022)","","660,739",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.5%",""
"Population, Census, April 1, 2020","","660,741",""
"Population, Census, April 1, 2010","","626,667",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","20.0%",""
"Persons 65 years and over, percent","","16.5%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","77.0%",""
"Black or African American alone, percent","(a)","13.2%",""
"American Indian and Alaska Native alone, percent","(a)","1.6%",""
"Asian alone, percent","(a)","4.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent","(b)","25.5%",""
"White alone, not Hispanic or Latino, percent","","58.4%",""
"Veterans, 2017-2021","","24,564",""
"Foreign born persons, percent, 2017-2021","","19.4%",""
"Housing units, July 1, 2022, (V2022)","","277,754",""
"Owner-occupied housing unit rate, 2017-2021","","55.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$266,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,881",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$745",""
"Median gross rent, 2017-2021","","$1,062",""
"Building permits, 2022","","640",""
"Households, 2017-2021","","249,592",""
"Persons per household, 2017-2021","","2.53",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","88.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","31.7%",""
"Households with a computer, percent, 2017-2021","","91.1%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","86.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","86.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","30.6%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","5.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","65.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","61.8%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","1,995,094",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","6,916,084",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","706,237",""
"Total retail sales, 2017 ($1,000)","(c)","6,772,846",""
"Total retail sales per capita, 2017","(c)","$10,674",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.1",""
"Median household income (in 2021 dollars), 2017-2021","","$65,797",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$34,889",""
"Persons in poverty, percent","","14.3%",""
"Total employer establishments, 2021","","16,116",""
"Total employment, 2021","","254,341",""
"Total annual payroll, 2021 ($1,000)","","15,465,883",""
"Total employment, percent change, 2020-2021","","-7.7%",""
"Total nonemployer establishments, 2020","","46,324",""
"All employer firms, Reference year 2017","","13,310",""
"Men-owned employer firms, Reference year 2017","","8,213",""
"Women-owned employer firms, Reference year 2017","","2,208",""
"Minority-owned employer firms, Reference year 2017","","1,292",""
"Nonminority-owned employer firms, Reference year 2017","","10,536",""
"Veteran-owned employer firms, Reference year 2017","","866",""
"Nonveteran-owned employer firms, Reference year 2017","","10,664",""
"Population per square mile, 2020","","1,613.6",""
"Population per square mile, 2010","","1,530.3",""
"Land area in square miles, 2020","","409.48",""
"Land area in square miles, 2010","","409.50",""
"FIPS Code","","""44007""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
