"Fact","Fact Note","Sumner County, Tennessee","Value Note for Sumner County, Tennessee"
"Population Estimates, July 1, 2022, (V2022)","","203,858",""
"Population estimates base, April 1, 2020, (V2022)","","196,281",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","3.9%",""
"Population, Census, April 1, 2020","","196,281",""
"Population, Census, April 1, 2010","","160,645",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","22.7%",""
"Persons 65 years and over, percent","","16.9%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","86.9%",""
"Black or African American alone, percent","(a)","8.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent","(b)","6.2%",""
"White alone, not Hispanic or Latino, percent","","81.5%",""
"Veterans, 2017-2021","","11,924",""
"Foreign born persons, percent, 2017-2021","","4.5%",""
"Housing units, July 1, 2022, (V2022)","","83,397",""
"Owner-occupied housing unit rate, 2017-2021","","73.4%",""
"Median value of owner-occupied housing units, 2017-2021","","$276,600",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,552",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$487",""
"Median gross rent, 2017-2021","","$1,142",""
"Building permits, 2022","","1,968",""
"Households, 2017-2021","","72,638",""
"Persons per household, 2017-2021","","2.64",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","86.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","6.3%",""
"Households with a computer, percent, 2017-2021","","94.7%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","89.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","90.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","29.8%",""
"With a disability, under age 65 years, percent, 2017-2021","","9.5%",""
"Persons without health insurance, under age 65 years, percent","","10.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","66.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","61.9%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","287,050",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","985,410",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","232,858",""
"Total retail sales, 2017 ($1,000)","(c)","1,832,493",""
"Total retail sales per capita, 2017","(c)","$9,958",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","29.5",""
"Median household income (in 2021 dollars), 2017-2021","","$73,517",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$36,931",""
"Persons in poverty, percent","","8.6%",""
"Total employer establishments, 2021","","3,556",""
"Total employment, 2021","","50,800",""
"Total annual payroll, 2021 ($1,000)","","2,342,743",""
"Total employment, percent change, 2020-2021","","1.5%",""
"Total nonemployer establishments, 2020","","17,861",""
"All employer firms, Reference year 2017","","2,629",""
"Men-owned employer firms, Reference year 2017","","1,497",""
"Women-owned employer firms, Reference year 2017","","492",""
"Minority-owned employer firms, Reference year 2017","","165",""
"Nonminority-owned employer firms, Reference year 2017","","2,089",""
"Veteran-owned employer firms, Reference year 2017","","168",""
"Nonveteran-owned employer firms, Reference year 2017","","2,027",""
"Population per square mile, 2020","","370.7",""
"Population per square mile, 2010","","303.4",""
"Land area in square miles, 2020","","529.46",""
"Land area in square miles, 2010","","529.45",""
"FIPS Code","","""47165""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
