"Fact","Fact Note","Barbour County, West Virginia","Value Note for Barbour County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","15,414",""
"Population estimates base, April 1, 2020, (V2022)","","15,462",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.3%",""
"Population, Census, April 1, 2020","","15,465",""
"Population, Census, April 1, 2010","","16,589",""
"Persons under 5 years, percent","","4.9%",""
"Persons under 18 years, percent","","20.2%",""
"Persons 65 years and over, percent","","20.8%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","95.7%",""
"Black or African American alone, percent","(a)","1.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent","(b)","1.3%",""
"White alone, not Hispanic or Latino, percent","","94.7%",""
"Veterans, 2017-2021","","1,065",""
"Foreign born persons, percent, 2017-2021","","0.8%",""
"Housing units, July 1, 2022, (V2022)","","7,132",""
"Owner-occupied housing unit rate, 2017-2021","","75.0%",""
"Median value of owner-occupied housing units, 2017-2021","","$106,600",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,014",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$329",""
"Median gross rent, 2017-2021","","$612",""
"Building permits, 2022","","2",""
"Households, 2017-2021","","5,813",""
"Persons per household, 2017-2021","","2.59",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","92.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.4%",""
"Households with a computer, percent, 2017-2021","","87.2%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","75.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","87.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","13.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.4%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","50.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","48.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","12,833",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","44,114",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","77,127",""
"Total retail sales per capita, 2017","(c)","$4,666",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","26.7",""
"Median household income (in 2021 dollars), 2017-2021","","$42,260",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$23,616",""
"Persons in poverty, percent","","19.7%",""
"Total employer establishments, 2021","","203",""
"Total employment, 2021","","2,874",""
"Total annual payroll, 2021 ($1,000)","","135,392",""
"Total employment, percent change, 2020-2021","","2.0%",""
"Total nonemployer establishments, 2020","","643",""
"All employer firms, Reference year 2017","","173",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","20",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","137",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","132",""
"Population per square mile, 2020","","45.3",""
"Population per square mile, 2010","","48.6",""
"Land area in square miles, 2020","","341.06",""
"Land area in square miles, 2010","","341.06",""
"FIPS Code","","""54001""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
