"Fact","Fact Note","Boone County, West Virginia","Value Note for Boone County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","20,968",""
"Population estimates base, April 1, 2020, (V2022)","","21,807",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-3.8%",""
"Population, Census, April 1, 2020","","21,809",""
"Population, Census, April 1, 2010","","24,629",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.4%",""
"Persons 65 years and over, percent","","22.5%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","97.9%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.0%",""
"Hispanic or Latino, percent","(b)","0.7%",""
"White alone, not Hispanic or Latino, percent","","97.3%",""
"Veterans, 2017-2021","","1,339",""
"Foreign born persons, percent, 2017-2021","","0.3%",""
"Housing units, July 1, 2022, (V2022)","","10,159",""
"Owner-occupied housing unit rate, 2017-2021","","79.9%",""
"Median value of owner-occupied housing units, 2017-2021","","$80,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$986",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$343",""
"Median gross rent, 2017-2021","","$694",""
"Building permits, 2022","","13",""
"Households, 2017-2021","","7,821",""
"Persons per household, 2017-2021","","2.81",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","93.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.5%",""
"Households with a computer, percent, 2017-2021","","88.2%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","83.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","84.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","11.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","18.8%",""
"Persons without health insurance, under age 65 years, percent","","7.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","42.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","39.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","12,680",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","214,448",""
"Total retail sales per capita, 2017","(c)","$9,587",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","31.7",""
"Median household income (in 2021 dollars), 2017-2021","","$50,598",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$23,630",""
"Persons in poverty, percent","","24.7%",""
"Total employer establishments, 2021","","236",""
"Total employment, 2021","","3,923",""
"Total annual payroll, 2021 ($1,000)","","198,158",""
"Total employment, percent change, 2020-2021","","8.2%",""
"Total nonemployer establishments, 2020","","613",""
"All employer firms, Reference year 2017","","190",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","150",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","96",""
"Population per square mile, 2020","","43.5",""
"Population per square mile, 2010","","49.1",""
"Land area in square miles, 2020","","501.53",""
"Land area in square miles, 2010","","501.54",""
"FIPS Code","","""54005""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
