"Fact","Fact Note","Cabell County, West Virginia","Value Note for Cabell County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","92,730",""
"Population estimates base, April 1, 2020, (V2022)","","94,346",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.7%",""
"Population, Census, April 1, 2020","","94,350",""
"Population, Census, April 1, 2010","","96,319",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","19.5%",""
"Persons 65 years and over, percent","","19.9%",""
"Female persons, percent","","51.3%",""
"White alone, percent","","90.8%",""
"Black or African American alone, percent","(a)","4.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent","(b)","1.6%",""
"White alone, not Hispanic or Latino, percent","","89.5%",""
"Veterans, 2017-2021","","5,403",""
"Foreign born persons, percent, 2017-2021","","1.6%",""
"Housing units, July 1, 2022, (V2022)","","46,040",""
"Owner-occupied housing unit rate, 2017-2021","","63.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$129,900",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,090",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$385",""
"Median gross rent, 2017-2021","","$775",""
"Building permits, 2022","","66",""
"Households, 2017-2021","","39,398",""
"Persons per household, 2017-2021","","2.30",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.9%",""
"Households with a computer, percent, 2017-2021","","87.9%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","75.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","89.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","28.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.9%",""
"Persons without health insurance, under age 65 years, percent","","8.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","54.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","50.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","264,351",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","1,889,069",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","34,657",""
"Total retail sales, 2017 ($1,000)","(c)","1,478,411",""
"Total retail sales per capita, 2017","(c)","$15,643",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","20.9",""
"Median household income (in 2021 dollars), 2017-2021","","$43,779",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$27,985",""
"Persons in poverty, percent","","19.0%",""
"Total employer establishments, 2021","","2,294",""
"Total employment, 2021","","43,560",""
"Total annual payroll, 2021 ($1,000)","","2,053,340",""
"Total employment, percent change, 2020-2021","","-4.7%",""
"Total nonemployer establishments, 2020","","4,420",""
"All employer firms, Reference year 2017","","1,837",""
"Men-owned employer firms, Reference year 2017","","1,069",""
"Women-owned employer firms, Reference year 2017","","226",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","1,355",""
"Veteran-owned employer firms, Reference year 2017","","112",""
"Nonveteran-owned employer firms, Reference year 2017","","1,274",""
"Population per square mile, 2020","","335.7",""
"Population per square mile, 2010","","342.8",""
"Land area in square miles, 2020","","281.02",""
"Land area in square miles, 2010","","281.02",""
"FIPS Code","","""54011""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
