"Fact","Fact Note","Clay County, West Virginia","Value Note for Clay County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","7,814",""
"Population estimates base, April 1, 2020, (V2022)","","8,050",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.9%",""
"Population, Census, April 1, 2020","","8,051",""
"Population, Census, April 1, 2010","","9,386",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","21.9%",""
"Persons 65 years and over, percent","","22.4%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","97.5%",""
"Black or African American alone, percent","(a)","0.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent","(b)","1.1%",""
"White alone, not Hispanic or Latino, percent","","96.5%",""
"Veterans, 2017-2021","","475",""
"Foreign born persons, percent, 2017-2021","","0.0%",""
"Housing units, July 1, 2022, (V2022)","","3,963",""
"Owner-occupied housing unit rate, 2017-2021","","82.3%",""
"Median value of owner-occupied housing units, 2017-2021","","$87,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$876",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$280",""
"Median gross rent, 2017-2021","","$530",""
"Building permits, 2022","","16",""
"Households, 2017-2021","","2,896",""
"Persons per household, 2017-2021","","2.80",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","90.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.9%",""
"Households with a computer, percent, 2017-2021","","80.1%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","78.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","80.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","12.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","22.4%",""
"Persons without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","39.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","38.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","1,660",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","10,312",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","38,639",""
"Total retail sales per capita, 2017","(c)","$4,439",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","38.0",""
"Median household income (in 2021 dollars), 2017-2021","","$37,197",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$19,149",""
"Persons in poverty, percent","","22.3%",""
"Total employer establishments, 2021","","67",""
"Total employment, 2021","","771",""
"Total annual payroll, 2021 ($1,000)","","25,553",""
"Total employment, percent change, 2020-2021","","-8.6%",""
"Total nonemployer establishments, 2020","","345",""
"All employer firms, Reference year 2017","","94",""
"Men-owned employer firms, Reference year 2017","","67",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","76",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","55",""
"Population per square mile, 2020","","23.5",""
"Population per square mile, 2010","","27.5",""
"Land area in square miles, 2020","","341.94",""
"Land area in square miles, 2010","","341.90",""
"FIPS Code","","""54015""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
