"Fact","Fact Note","Gilmer County, West Virginia","Value Note for Gilmer County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","7,325",""
"Population estimates base, April 1, 2020, (V2022)","","7,417",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.2%",""
"Population, Census, April 1, 2020","","7,408",""
"Population, Census, April 1, 2010","","8,693",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","15.2%",""
"Persons 65 years and over, percent","","18.1%",""
"Female persons, percent","","38.9%",""
"White alone, percent","","83.5%",""
"Black or African American alone, percent","(a)","12.4%",""
"American Indian and Alaska Native alone, percent","(a)","1.1%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent","(b)","6.7%",""
"White alone, not Hispanic or Latino, percent","","78.3%",""
"Veterans, 2017-2021","","504",""
"Foreign born persons, percent, 2017-2021","","2.5%",""
"Housing units, July 1, 2022, (V2022)","","3,121",""
"Owner-occupied housing unit rate, 2017-2021","","74.5%",""
"Median value of owner-occupied housing units, 2017-2021","","$82,000",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$672",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$225",""
"Median gross rent, 2017-2021","","$652",""
"Building permits, 2022","","8",""
"Households, 2017-2021","","2,127",""
"Persons per household, 2017-2021","","2.85",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","86.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","4.4%",""
"Households with a computer, percent, 2017-2021","","79.2%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","73.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","84.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","20.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.1%",""
"Persons without health insurance, under age 65 years, percent","","8.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","43.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","45.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","5,452",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","13,113",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","6,844",""
"Total retail sales, 2017 ($1,000)","(c)","35,144",""
"Total retail sales per capita, 2017","(c)","$4,360",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","30.6",""
"Median household income (in 2021 dollars), 2017-2021","","$45,870",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$18,855",""
"Persons in poverty, percent","","25.3%",""
"Total employer establishments, 2021","","100",""
"Total employment, 2021","","815",""
"Total annual payroll, 2021 ($1,000)","","27,597",""
"Total employment, percent change, 2020-2021","","-11.7%",""
"Total nonemployer establishments, 2020","","297",""
"All employer firms, Reference year 2017","","103",""
"Men-owned employer firms, Reference year 2017","","67",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","76",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","66",""
"Population per square mile, 2020","","21.9",""
"Population per square mile, 2010","","25.7",""
"Land area in square miles, 2020","","338.50",""
"Land area in square miles, 2010","","338.50",""
"FIPS Code","","""54021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
