"Fact","Fact Note","Grant County, West Virginia","Value Note for Grant County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","10,968",""
"Population estimates base, April 1, 2020, (V2022)","","10,975",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.1%",""
"Population, Census, April 1, 2020","","10,976",""
"Population, Census, April 1, 2010","","11,937",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","19.5%",""
"Persons 65 years and over, percent","","24.9%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","97.1%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent","(b)","1.7%",""
"White alone, not Hispanic or Latino, percent","","95.7%",""
"Veterans, 2017-2021","","882",""
"Foreign born persons, percent, 2017-2021","","0.8%",""
"Housing units, July 1, 2022, (V2022)","","5,669",""
"Owner-occupied housing unit rate, 2017-2021","","81.9%",""
"Median value of owner-occupied housing units, 2017-2021","","$137,400",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$895",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$331",""
"Median gross rent, 2017-2021","","$586",""
"Building permits, 2022","","35",""
"Households, 2017-2021","","4,147",""
"Persons per household, 2017-2021","","2.64",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","95.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.9%",""
"Households with a computer, percent, 2017-2021","","80.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","76.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","84.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","11.4%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.0%",""
"Persons without health insurance, under age 65 years, percent","","8.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","55.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","55.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","10,002",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","57,712",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","107,012",""
"Total retail sales per capita, 2017","(c)","$9,205",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","22.2",""
"Median household income (in 2021 dollars), 2017-2021","","$47,224",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$25,221",""
"Persons in poverty, percent","","15.2%",""
"Total employer establishments, 2021","","236",""
"Total employment, 2021","","2,680",""
"Total annual payroll, 2021 ($1,000)","","113,921",""
"Total employment, percent change, 2020-2021","","-3.4%",""
"Total nonemployer establishments, 2020","","702",""
"All employer firms, Reference year 2017","","229",""
"Men-owned employer firms, Reference year 2017","","139",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","197",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","163",""
"Population per square mile, 2020","","23.0",""
"Population per square mile, 2010","","25.0",""
"Land area in square miles, 2020","","477.37",""
"Land area in square miles, 2010","","477.37",""
"FIPS Code","","""54023""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
