"Fact","Fact Note","Greenbrier County, West Virginia","Value Note for Greenbrier County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","32,435",""
"Population estimates base, April 1, 2020, (V2022)","","32,979",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.6%",""
"Population, Census, April 1, 2020","","32,977",""
"Population, Census, April 1, 2010","","35,480",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","24.8%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","94.1%",""
"Black or African American alone, percent","(a)","2.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent","(b)","2.1%",""
"White alone, not Hispanic or Latino, percent","","92.4%",""
"Veterans, 2017-2021","","1,965",""
"Foreign born persons, percent, 2017-2021","","1.5%",""
"Housing units, July 1, 2022, (V2022)","","17,895",""
"Owner-occupied housing unit rate, 2017-2021","","72.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$128,900",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,069",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$323",""
"Median gross rent, 2017-2021","","$737",""
"Building permits, 2022","","93",""
"Households, 2017-2021","","14,722",""
"Persons per household, 2017-2021","","2.23",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","3.1%",""
"Households with a computer, percent, 2017-2021","","82.8%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","78.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","87.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","19.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","15.7%",""
"Persons without health insurance, under age 65 years, percent","","8.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","52.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","47.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","190,087",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","233,538",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","15,305",""
"Total retail sales, 2017 ($1,000)","(c)","575,097",""
"Total retail sales per capita, 2017","(c)","$16,335",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","23.9",""
"Median household income (in 2021 dollars), 2017-2021","","$41,694",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$27,462",""
"Persons in poverty, percent","","18.9%",""
"Total employer establishments, 2021","","879",""
"Total employment, 2021","","10,358",""
"Total annual payroll, 2021 ($1,000)","","395,421",""
"Total employment, percent change, 2020-2021","","-5.9%",""
"Total nonemployer establishments, 2020","","2,034",""
"All employer firms, Reference year 2017","","784",""
"Men-owned employer firms, Reference year 2017","","422",""
"Women-owned employer firms, Reference year 2017","","121",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","608",""
"Veteran-owned employer firms, Reference year 2017","","68",""
"Nonveteran-owned employer firms, Reference year 2017","","568",""
"Population per square mile, 2020","","32.3",""
"Population per square mile, 2010","","34.8",""
"Land area in square miles, 2020","","1,019.81",""
"Land area in square miles, 2010","","1,019.57",""
"FIPS Code","","""54025""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
