"Fact","Fact Note","Hampshire County, West Virginia","Value Note for Hampshire County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","23,468",""
"Population estimates base, April 1, 2020, (V2022)","","23,092",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","1.6%",""
"Population, Census, April 1, 2020","","23,093",""
"Population, Census, April 1, 2010","","23,964",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","17.6%",""
"Persons 65 years and over, percent","","24.5%",""
"Female persons, percent","","48.6%",""
"White alone, percent","","96.5%",""
"Black or African American alone, percent","(a)","1.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent","(b)","1.7%",""
"White alone, not Hispanic or Latino, percent","","95.1%",""
"Veterans, 2017-2021","","1,651",""
"Foreign born persons, percent, 2017-2021","","0.3%",""
"Housing units, July 1, 2022, (V2022)","","12,645",""
"Owner-occupied housing unit rate, 2017-2021","","82.2%",""
"Median value of owner-occupied housing units, 2017-2021","","$157,600",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,013",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$334",""
"Median gross rent, 2017-2021","","$703",""
"Building permits, 2022","","125",""
"Households, 2017-2021","","7,912",""
"Persons per household, 2017-2021","","2.86",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","94.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.0%",""
"Households with a computer, percent, 2017-2021","","84.2%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","76.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","87.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","12.6%",""
"With a disability, under age 65 years, percent, 2017-2021","","20.3%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","49.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","43.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","121,953",""
"Total retail sales per capita, 2017","(c)","$5,212",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","39.1",""
"Median household income (in 2021 dollars), 2017-2021","","$50,890",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$25,324",""
"Persons in poverty, percent","","15.9%",""
"Total employer establishments, 2021","","312",""
"Total employment, 2021","","2,425",""
"Total annual payroll, 2021 ($1,000)","","85,575",""
"Total employment, percent change, 2020-2021","","-7.3%",""
"Total nonemployer establishments, 2020","","1,406",""
"All employer firms, Reference year 2017","","262",""
"Men-owned employer firms, Reference year 2017","","122",""
"Women-owned employer firms, Reference year 2017","","35",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","200",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","200",""
"Population per square mile, 2020","","36.1",""
"Population per square mile, 2010","","37.4",""
"Land area in square miles, 2020","","640.40",""
"Land area in square miles, 2010","","640.25",""
"FIPS Code","","""54027""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
