"Fact","Fact Note","Hancock County, West Virginia","Value Note for Hancock County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","28,172",""
"Population estimates base, April 1, 2020, (V2022)","","29,095",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-3.2%",""
"Population, Census, April 1, 2020","","29,095",""
"Population, Census, April 1, 2010","","30,676",""
"Persons under 5 years, percent","","4.2%",""
"Persons under 18 years, percent","","18.2%",""
"Persons 65 years and over, percent","","24.4%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","94.4%",""
"Black or African American alone, percent","(a)","2.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent","(b)","1.8%",""
"White alone, not Hispanic or Latino, percent","","93.0%",""
"Veterans, 2017-2021","","2,526",""
"Foreign born persons, percent, 2017-2021","","0.7%",""
"Housing units, July 1, 2022, (V2022)","","14,202",""
"Owner-occupied housing unit rate, 2017-2021","","72.4%",""
"Median value of owner-occupied housing units, 2017-2021","","$97,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$926",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$349",""
"Median gross rent, 2017-2021","","$686",""
"Building permits, 2022","","22",""
"Households, 2017-2021","","12,840",""
"Persons per household, 2017-2021","","2.26",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.1%",""
"Households with a computer, percent, 2017-2021","","88.9%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","85.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","89.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","17.8%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","57.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","51.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","178,776",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","84,545",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","28,535",""
"Total retail sales, 2017 ($1,000)","(c)","184,623",""
"Total retail sales per capita, 2017","(c)","$6,277",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","24.5",""
"Median household income (in 2021 dollars), 2017-2021","","$52,062",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,066",""
"Persons in poverty, percent","","14.9%",""
"Total employer establishments, 2021","","544",""
"Total employment, 2021","","7,481",""
"Total annual payroll, 2021 ($1,000)","","326,780",""
"Total employment, percent change, 2020-2021","","-7.5%",""
"Total nonemployer establishments, 2020","","1,162",""
"All employer firms, Reference year 2017","","541",""
"Men-owned employer firms, Reference year 2017","","324",""
"Women-owned employer firms, Reference year 2017","","73",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","403",""
"Veteran-owned employer firms, Reference year 2017","","29",""
"Nonveteran-owned employer firms, Reference year 2017","","391",""
"Population per square mile, 2020","","352.2",""
"Population per square mile, 2010","","371.3",""
"Land area in square miles, 2020","","82.61",""
"Land area in square miles, 2010","","82.61",""
"FIPS Code","","""54029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
