"Fact","Fact Note","Hardy County, West Virginia","Value Note for Hardy County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","14,192",""
"Population estimates base, April 1, 2020, (V2022)","","14,298",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.7%",""
"Population, Census, April 1, 2020","","14,299",""
"Population, Census, April 1, 2010","","14,025",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","19.8%",""
"Persons 65 years and over, percent","","23.2%",""
"Female persons, percent","","48.8%",""
"White alone, percent","","93.2%",""
"Black or African American alone, percent","(a)","3.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent","(b)","4.5%",""
"White alone, not Hispanic or Latino, percent","","89.5%",""
"Veterans, 2017-2021","","1,281",""
"Foreign born persons, percent, 2017-2021","","0.7%",""
"Housing units, July 1, 2022, (V2022)","","8,269",""
"Owner-occupied housing unit rate, 2017-2021","","76.9%",""
"Median value of owner-occupied housing units, 2017-2021","","$141,500",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,029",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$360",""
"Median gross rent, 2017-2021","","$844",""
"Building permits, 2022","","59",""
"Households, 2017-2021","","5,794",""
"Persons per household, 2017-2021","","2.45",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","91.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.5%",""
"Households with a computer, percent, 2017-2021","","87.8%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","84.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","84.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","13.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.2%",""
"Persons without health insurance, under age 65 years, percent","","10.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","55.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","53.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","17,482",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","46,178",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","28,482",""
"Total retail sales, 2017 ($1,000)","(c)","174,490",""
"Total retail sales per capita, 2017","(c)","$12,590",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.4",""
"Median household income (in 2021 dollars), 2017-2021","","$46,592",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$28,388",""
"Persons in poverty, percent","","17.5%",""
"Total employer establishments, 2021","","276",""
"Total employment, 2021","","5,895",""
"Total annual payroll, 2021 ($1,000)","","239,973",""
"Total employment, percent change, 2020-2021","","15.4%",""
"Total nonemployer establishments, 2020","","855",""
"All employer firms, Reference year 2017","","241",""
"Men-owned employer firms, Reference year 2017","","113",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","187",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","178",""
"Population per square mile, 2020","","24.6",""
"Population per square mile, 2010","","24.1",""
"Land area in square miles, 2020","","582.32",""
"Land area in square miles, 2010","","582.31",""
"FIPS Code","","""54031""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
