"Fact","Fact Note","Harrison County, West Virginia","Value Note for Harrison County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","64,915",""
"Population estimates base, April 1, 2020, (V2022)","","65,922",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.5%",""
"Population, Census, April 1, 2020","","65,921",""
"Population, Census, April 1, 2010","","69,099",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","20.7%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","95.1%",""
"Black or African American alone, percent","(a)","2.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent","(b)","1.9%",""
"White alone, not Hispanic or Latino, percent","","93.5%",""
"Veterans, 2017-2021","","4,335",""
"Foreign born persons, percent, 2017-2021","","1.0%",""
"Housing units, July 1, 2022, (V2022)","","30,537",""
"Owner-occupied housing unit rate, 2017-2021","","74.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$124,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,036",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$345",""
"Median gross rent, 2017-2021","","$798",""
"Building permits, 2022","","131",""
"Households, 2017-2021","","26,129",""
"Persons per household, 2017-2021","","2.49",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","88.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.8%",""
"Households with a computer, percent, 2017-2021","","89.3%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","81.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","88.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","23.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.1%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","58.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","51.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","172,421",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","888,207",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","278,256",""
"Total retail sales, 2017 ($1,000)","(c)","1,340,944",""
"Total retail sales per capita, 2017","(c)","$19,734",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","22.8",""
"Median household income (in 2021 dollars), 2017-2021","","$54,124",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$30,029",""
"Persons in poverty, percent","","14.6%",""
"Total employer establishments, 2021","","1,772",""
"Total employment, 2021","","27,218",""
"Total annual payroll, 2021 ($1,000)","","1,414,970",""
"Total employment, percent change, 2020-2021","","-8.0%",""
"Total nonemployer establishments, 2020","","3,627",""
"All employer firms, Reference year 2017","","1,327",""
"Men-owned employer firms, Reference year 2017","","758",""
"Women-owned employer firms, Reference year 2017","","208",""
"Minority-owned employer firms, Reference year 2017","","57",""
"Nonminority-owned employer firms, Reference year 2017","","984",""
"Veteran-owned employer firms, Reference year 2017","","123",""
"Nonveteran-owned employer firms, Reference year 2017","","911",""
"Population per square mile, 2020","","158.5",""
"Population per square mile, 2010","","166.1",""
"Land area in square miles, 2020","","416.01",""
"Land area in square miles, 2010","","416.01",""
"FIPS Code","","""54033""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
