"Fact","Fact Note","Jackson County, West Virginia","Value Note for Jackson County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","27,716",""
"Population estimates base, April 1, 2020, (V2022)","","27,792",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.3%",""
"Population, Census, April 1, 2020","","27,791",""
"Population, Census, April 1, 2010","","29,211",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.4%",""
"Persons 65 years and over, percent","","21.3%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","97.5%",""
"Black or African American alone, percent","(a)","0.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent","(b)","1.3%",""
"White alone, not Hispanic or Latino, percent","","96.3%",""
"Veterans, 2017-2021","","1,978",""
"Foreign born persons, percent, 2017-2021","","1.3%",""
"Housing units, July 1, 2022, (V2022)","","12,876",""
"Owner-occupied housing unit rate, 2017-2021","","75.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$137,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$963",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$352",""
"Median gross rent, 2017-2021","","$698",""
"Building permits, 2022","","1",""
"Households, 2017-2021","","11,127",""
"Persons per household, 2017-2021","","2.50",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","94.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.0%",""
"Households with a computer, percent, 2017-2021","","81.8%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","76.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","89.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","17.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","15.5%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","46.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","42.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","43,160",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","80,546",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","30,666",""
"Total retail sales, 2017 ($1,000)","(c)","368,839",""
"Total retail sales per capita, 2017","(c)","$12,754",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","29.5",""
"Median household income (in 2021 dollars), 2017-2021","","$53,165",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$28,937",""
"Persons in poverty, percent","","15.4%",""
"Total employer establishments, 2021","","463",""
"Total employment, 2021","","6,123",""
"Total annual payroll, 2021 ($1,000)","","283,143",""
"Total employment, percent change, 2020-2021","","-9.3%",""
"Total nonemployer establishments, 2020","","1,291",""
"All employer firms, Reference year 2017","","470",""
"Men-owned employer firms, Reference year 2017","","239",""
"Women-owned employer firms, Reference year 2017","","78",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","384",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","335",""
"Population per square mile, 2020","","59.8",""
"Population per square mile, 2010","","62.9",""
"Land area in square miles, 2020","","464.36",""
"Land area in square miles, 2010","","464.35",""
"FIPS Code","","""54035""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
