"Fact","Fact Note","Jefferson County, West Virginia","Value Note for Jefferson County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","58,979",""
"Population estimates base, April 1, 2020, (V2022)","","57,707",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","2.2%",""
"Population, Census, April 1, 2020","","57,701",""
"Population, Census, April 1, 2010","","53,498",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","21.0%",""
"Persons 65 years and over, percent","","17.6%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","88.0%",""
"Black or African American alone, percent","(a)","6.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","1.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","3.3%",""
"Hispanic or Latino, percent","(b)","7.0%",""
"White alone, not Hispanic or Latino, percent","","81.9%",""
"Veterans, 2017-2021","","4,795",""
"Foreign born persons, percent, 2017-2021","","4.7%",""
"Housing units, July 1, 2022, (V2022)","","24,708",""
"Owner-occupied housing unit rate, 2017-2021","","78.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$276,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,709",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$429",""
"Median gross rent, 2017-2021","","$978",""
"Building permits, 2022","","528",""
"Households, 2017-2021","","21,162",""
"Persons per household, 2017-2021","","2.66",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","5.9%",""
"Households with a computer, percent, 2017-2021","","93.2%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","89.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","90.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","31.1%",""
"With a disability, under age 65 years, percent, 2017-2021","","9.8%",""
"Persons without health insurance, under age 65 years, percent","","6.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","64.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","59.9%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","501,955",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","513,072",""
"Total retail sales per capita, 2017","(c)","$9,067",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","36.9",""
"Median household income (in 2021 dollars), 2017-2021","","$86,711",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$38,946",""
"Persons in poverty, percent","","9.7%",""
"Total employer establishments, 2021","","940",""
"Total employment, 2021","","11,882",""
"Total annual payroll, 2021 ($1,000)","","491,609",""
"Total employment, percent change, 2020-2021","","-8.2%",""
"Total nonemployer establishments, 2020","","3,732",""
"All employer firms, Reference year 2017","","689",""
"Men-owned employer firms, Reference year 2017","","380",""
"Women-owned employer firms, Reference year 2017","","102",""
"Minority-owned employer firms, Reference year 2017","","62",""
"Nonminority-owned employer firms, Reference year 2017","","504",""
"Veteran-owned employer firms, Reference year 2017","","68",""
"Nonveteran-owned employer firms, Reference year 2017","","476",""
"Population per square mile, 2020","","275.7",""
"Population per square mile, 2010","","255.2",""
"Land area in square miles, 2020","","209.30",""
"Land area in square miles, 2010","","209.64",""
"FIPS Code","","""54037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
