"Fact","Fact Note","Lincoln County, West Virginia","Value Note for Lincoln County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","19,901",""
"Population estimates base, April 1, 2020, (V2022)","","20,459",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.7%",""
"Population, Census, April 1, 2020","","20,463",""
"Population, Census, April 1, 2010","","21,720",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","21.7%",""
"Persons 65 years and over, percent","","21.2%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","97.8%",""
"Black or African American alone, percent","(a)","0.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent","(b)","0.8%",""
"White alone, not Hispanic or Latino, percent","","97.1%",""
"Veterans, 2017-2021","","924",""
"Foreign born persons, percent, 2017-2021","","0.4%",""
"Housing units, July 1, 2022, (V2022)","","9,595",""
"Owner-occupied housing unit rate, 2017-2021","","79.6%",""
"Median value of owner-occupied housing units, 2017-2021","","$82,900",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$880",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$287",""
"Median gross rent, 2017-2021","","$666",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","7,759",""
"Persons per household, 2017-2021","","2.65",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","93.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.8%",""
"Households with a computer, percent, 2017-2021","","85.7%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","79.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","81.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","7.8%",""
"With a disability, under age 65 years, percent, 2017-2021","","20.8%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","42.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","40.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","33,954",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","5,580",""
"Total retail sales, 2017 ($1,000)","(c)","71,852",""
"Total retail sales per capita, 2017","(c)","$3,439",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","35.0",""
"Median household income (in 2021 dollars), 2017-2021","","$46,683",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$23,804",""
"Persons in poverty, percent","","20.3%",""
"Total employer establishments, 2021","","157",""
"Total employment, 2021","","1,537",""
"Total annual payroll, 2021 ($1,000)","","45,990",""
"Total employment, percent change, 2020-2021","","-3.2%",""
"Total nonemployer establishments, 2020","","567",""
"All employer firms, Reference year 2017","","135",""
"Men-owned employer firms, Reference year 2017","","74",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","97",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","93",""
"Population per square mile, 2020","","46.8",""
"Population per square mile, 2010","","49.7",""
"Land area in square miles, 2020","","437.09",""
"Land area in square miles, 2010","","437.04",""
"FIPS Code","","""54043""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
