"Fact","Fact Note","Marshall County, West Virginia","Value Note for Marshall County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","29,752",""
"Population estimates base, April 1, 2020, (V2022)","","30,589",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.7%",""
"Population, Census, April 1, 2020","","30,591",""
"Population, Census, April 1, 2010","","33,107",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","18.7%",""
"Persons 65 years and over, percent","","24.1%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","96.8%",""
"Black or African American alone, percent","(a)","1.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent","(b)","1.1%",""
"White alone, not Hispanic or Latino, percent","","95.9%",""
"Veterans, 2017-2021","","2,036",""
"Foreign born persons, percent, 2017-2021","","0.7%",""
"Housing units, July 1, 2022, (V2022)","","14,693",""
"Owner-occupied housing unit rate, 2017-2021","","80.2%",""
"Median value of owner-occupied housing units, 2017-2021","","$116,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$960",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$363",""
"Median gross rent, 2017-2021","","$666",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","11,811",""
"Persons per household, 2017-2021","","2.57",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","90.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.9%",""
"Households with a computer, percent, 2017-2021","","84.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","79.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","92.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","19.4%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.8%",""
"Persons without health insurance, under age 65 years, percent","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","52.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","47.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","34,646",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","98,084",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","38,924",""
"Total retail sales, 2017 ($1,000)","(c)","354,885",""
"Total retail sales per capita, 2017","(c)","$11,353",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","26.0",""
"Median household income (in 2021 dollars), 2017-2021","","$52,371",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$30,706",""
"Persons in poverty, percent","","16.4%",""
"Total employer establishments, 2021","","497",""
"Total employment, 2021","","8,920",""
"Total annual payroll, 2021 ($1,000)","","452,769",""
"Total employment, percent change, 2020-2021","","1.1%",""
"Total nonemployer establishments, 2020","","1,060",""
"All employer firms, Reference year 2017","","292",""
"Men-owned employer firms, Reference year 2017","","145",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","197",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","204",""
"Population per square mile, 2020","","100.2",""
"Population per square mile, 2010","","108.4",""
"Land area in square miles, 2020","","305.43",""
"Land area in square miles, 2010","","305.43",""
"FIPS Code","","""54051""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
