"Fact","Fact Note","Mason County, West Virginia","Value Note for Mason County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","25,000",""
"Population estimates base, April 1, 2020, (V2022)","","25,448",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.8%",""
"Population, Census, April 1, 2020","","25,453",""
"Population, Census, April 1, 2010","","27,324",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","22.8%",""
"Female persons, percent","","51.8%",""
"White alone, percent","","96.8%",""
"Black or African American alone, percent","(a)","1.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent","(b)","0.9%",""
"White alone, not Hispanic or Latino, percent","","96.1%",""
"Veterans, 2017-2021","","1,802",""
"Foreign born persons, percent, 2017-2021","","0.6%",""
"Housing units, July 1, 2022, (V2022)","","12,194",""
"Owner-occupied housing unit rate, 2017-2021","","84.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$108,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$991",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$376",""
"Median gross rent, 2017-2021","","$599",""
"Building permits, 2022","","3",""
"Households, 2017-2021","","10,057",""
"Persons per household, 2017-2021","","2.48",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","95.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.0%",""
"Households with a computer, percent, 2017-2021","","83.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","77.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","86.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","14.7%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.8%",""
"Persons without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","47.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","38.9%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","13,376",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","110,544",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","13,991",""
"Total retail sales, 2017 ($1,000)","(c)","153,861",""
"Total retail sales per capita, 2017","(c)","$5,732",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","27.0",""
"Median household income (in 2021 dollars), 2017-2021","","$49,957",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$28,598",""
"Persons in poverty, percent","","18.6%",""
"Total employer establishments, 2021","","315",""
"Total employment, 2021","","3,584",""
"Total annual payroll, 2021 ($1,000)","","167,677",""
"Total employment, percent change, 2020-2021","","-6.0%",""
"Total nonemployer establishments, 2020","","862",""
"All employer firms, Reference year 2017","","198",""
"Men-owned employer firms, Reference year 2017","","108",""
"Women-owned employer firms, Reference year 2017","","25",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","143",""
"Veteran-owned employer firms, Reference year 2017","","20",""
"Nonveteran-owned employer firms, Reference year 2017","","130",""
"Population per square mile, 2020","","59.1",""
"Population per square mile, 2010","","63.4",""
"Land area in square miles, 2020","","430.77",""
"Land area in square miles, 2010","","430.75",""
"FIPS Code","","""54053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
