"Fact","Fact Note","Mineral County, West Virginia","Value Note for Mineral County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","26,855",""
"Population estimates base, April 1, 2020, (V2022)","","26,938",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.3%",""
"Population, Census, April 1, 2020","","26,938",""
"Population, Census, April 1, 2010","","28,212",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","19.6%",""
"Persons 65 years and over, percent","","22.6%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","94.3%",""
"Black or African American alone, percent","(a)","2.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent","(b)","1.1%",""
"White alone, not Hispanic or Latino, percent","","93.3%",""
"Veterans, 2017-2021","","2,140",""
"Foreign born persons, percent, 2017-2021","","0.5%",""
"Housing units, July 1, 2022, (V2022)","","12,524",""
"Owner-occupied housing unit rate, 2017-2021","","78.4%",""
"Median value of owner-occupied housing units, 2017-2021","","$151,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$985",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$353",""
"Median gross rent, 2017-2021","","$682",""
"Building permits, 2022","","42",""
"Households, 2017-2021","","10,431",""
"Persons per household, 2017-2021","","2.53",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","92.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.5%",""
"Households with a computer, percent, 2017-2021","","89.8%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","85.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","93.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","20.7%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","55.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","51.3%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","22,775",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","89,427",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","18,538",""
"Total retail sales, 2017 ($1,000)","(c)","263,483",""
"Total retail sales per capita, 2017","(c)","$9,677",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","26.4",""
"Median household income (in 2021 dollars), 2017-2021","","$57,345",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$30,564",""
"Persons in poverty, percent","","13.5%",""
"Total employer establishments, 2021","","444",""
"Total employment, 2021","","6,749",""
"Total annual payroll, 2021 ($1,000)","","293,011",""
"Total employment, percent change, 2020-2021","","5.3%",""
"Total nonemployer establishments, 2020","","1,314",""
"All employer firms, Reference year 2017","","251",""
"Men-owned employer firms, Reference year 2017","","107",""
"Women-owned employer firms, Reference year 2017","","41",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","172",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","178",""
"Population per square mile, 2020","","82.2",""
"Population per square mile, 2010","","86.1",""
"Land area in square miles, 2020","","327.88",""
"Land area in square miles, 2010","","327.83",""
"FIPS Code","","""54057""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
