"Fact","Fact Note","Mingo County, West Virginia","Value Note for Mingo County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","22,573",""
"Population estimates base, April 1, 2020, (V2022)","","23,574",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-4.2%",""
"Population, Census, April 1, 2020","","23,568",""
"Population, Census, April 1, 2010","","26,839",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","22.3%",""
"Persons 65 years and over, percent","","21.2%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","96.7%",""
"Black or African American alone, percent","(a)","1.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent","(b)","0.9%",""
"White alone, not Hispanic or Latino, percent","","95.9%",""
"Veterans, 2017-2021","","1,190",""
"Foreign born persons, percent, 2017-2021","","0.2%",""
"Housing units, July 1, 2022, (V2022)","","11,561",""
"Owner-occupied housing unit rate, 2017-2021","","73.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$83,000",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,006",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$332",""
"Median gross rent, 2017-2021","","$526",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","9,110",""
"Persons per household, 2017-2021","","2.61",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","90.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.7%",""
"Households with a computer, percent, 2017-2021","","83.6%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","78.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","75.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","9.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","27.7%",""
"Persons without health insurance, under age 65 years, percent","","9.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","36.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","32.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","12,698",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","56,875",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","106,251",""
"Total retail sales per capita, 2017","(c)","$4,399",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","34.1",""
"Median household income (in 2021 dollars), 2017-2021","","$35,349",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$19,631",""
"Persons in poverty, percent","","31.1%",""
"Total employer establishments, 2021","","316",""
"Total employment, 2021","","2,324",""
"Total annual payroll, 2021 ($1,000)","","81,212",""
"Total employment, percent change, 2020-2021","","-21.5%",""
"Total nonemployer establishments, 2020","","769",""
"All employer firms, Reference year 2017","","273",""
"Men-owned employer firms, Reference year 2017","","167",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","213",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","209",""
"Population per square mile, 2020","","55.7",""
"Population per square mile, 2010","","63.4",""
"Land area in square miles, 2020","","423.14",""
"Land area in square miles, 2010","","423.11",""
"FIPS Code","","""54059""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
