"Fact","Fact Note","Morgan County, West Virginia","Value Note for Morgan County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","17,430",""
"Population estimates base, April 1, 2020, (V2022)","","17,067",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","2.1%",""
"Population, Census, April 1, 2020","","17,063",""
"Population, Census, April 1, 2010","","17,541",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","16.9%",""
"Persons 65 years and over, percent","","25.1%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","95.8%",""
"Black or African American alone, percent","(a)","1.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","93.9%",""
"Veterans, 2017-2021","","1,521",""
"Foreign born persons, percent, 2017-2021","","1.5%",""
"Housing units, July 1, 2022, (V2022)","","9,233",""
"Owner-occupied housing unit rate, 2017-2021","","85.2%",""
"Median value of owner-occupied housing units, 2017-2021","","$190,900",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,214",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$350",""
"Median gross rent, 2017-2021","","$740",""
"Building permits, 2022","","112",""
"Households, 2017-2021","","6,957",""
"Persons per household, 2017-2021","","2.45",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","92.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.1%",""
"Households with a computer, percent, 2017-2021","","89.6%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","80.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","89.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","19.5%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.1%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","55.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","51.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","15,294",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","50,317",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","114,071",""
"Total retail sales per capita, 2017","(c)","$6,430",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","40.9",""
"Median household income (in 2021 dollars), 2017-2021","","$56,616",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,402",""
"Persons in poverty, percent","","12.8%",""
"Total employer establishments, 2021","","231",""
"Total employment, 2021","","2,155",""
"Total annual payroll, 2021 ($1,000)","","75,626",""
"Total employment, percent change, 2020-2021","","-10.9%",""
"Total nonemployer establishments, 2020","","1,098",""
"All employer firms, Reference year 2017","","178",""
"Men-owned employer firms, Reference year 2017","","87",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","138",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","131",""
"Population per square mile, 2020","","74.5",""
"Population per square mile, 2010","","76.6",""
"Land area in square miles, 2020","","229.07",""
"Land area in square miles, 2010","","229.07",""
"FIPS Code","","""54065""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
