"Fact","Fact Note","Nicholas County, West Virginia","Value Note for Nicholas County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","24,335",""
"Population estimates base, April 1, 2020, (V2022)","","24,603",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.1%",""
"Population, Census, April 1, 2020","","24,604",""
"Population, Census, April 1, 2010","","26,233",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","20.1%",""
"Persons 65 years and over, percent","","23.9%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","97.2%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent","(b)","0.9%",""
"White alone, not Hispanic or Latino, percent","","96.4%",""
"Veterans, 2017-2021","","1,561",""
"Foreign born persons, percent, 2017-2021","","0.9%",""
"Housing units, July 1, 2022, (V2022)","","12,549",""
"Owner-occupied housing unit rate, 2017-2021","","80.9%",""
"Median value of owner-occupied housing units, 2017-2021","","$93,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$912",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$318",""
"Median gross rent, 2017-2021","","$588",""
"Building permits, 2022","","5",""
"Households, 2017-2021","","9,678",""
"Persons per household, 2017-2021","","2.54",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","93.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.9%",""
"Households with a computer, percent, 2017-2021","","87.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","81.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","88.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","15.9%",""
"With a disability, under age 65 years, percent, 2017-2021","","17.4%",""
"Persons without health insurance, under age 65 years, percent","","7.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","47.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","44.0%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","39,641",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","105,939",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","25,917",""
"Total retail sales, 2017 ($1,000)","(c)","403,054",""
"Total retail sales per capita, 2017","(c)","$16,041",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","32.7",""
"Median household income (in 2021 dollars), 2017-2021","","$42,946",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$22,898",""
"Persons in poverty, percent","","19.8%",""
"Total employer establishments, 2021","","545",""
"Total employment, 2021","","5,554",""
"Total annual payroll, 2021 ($1,000)","","207,813",""
"Total employment, percent change, 2020-2021","","-3.1%",""
"Total nonemployer establishments, 2020","","1,128",""
"All employer firms, Reference year 2017","","500",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","92",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","389",""
"Veteran-owned employer firms, Reference year 2017","","30",""
"Nonveteran-owned employer firms, Reference year 2017","","S",""
"Population per square mile, 2020","","38.0",""
"Population per square mile, 2010","","40.6",""
"Land area in square miles, 2020","","646.85",""
"Land area in square miles, 2010","","646.82",""
"FIPS Code","","""54067""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
