"Fact","Fact Note","Pleasants County, West Virginia","Value Note for Pleasants County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","7,586",""
"Population estimates base, April 1, 2020, (V2022)","","7,653",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.9%",""
"Population, Census, April 1, 2020","","7,653",""
"Population, Census, April 1, 2010","","7,605",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","18.8%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","45.0%",""
"White alone, percent","","96.0%",""
"Black or African American alone, percent","(a)","1.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent","(b)","1.3%",""
"White alone, not Hispanic or Latino, percent","","95.0%",""
"Veterans, 2017-2021","","524",""
"Foreign born persons, percent, 2017-2021","","0.6%",""
"Housing units, July 1, 2022, (V2022)","","3,222",""
"Owner-occupied housing unit rate, 2017-2021","","85.2%",""
"Median value of owner-occupied housing units, 2017-2021","","$117,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,015",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$326",""
"Median gross rent, 2017-2021","","$580",""
"Building permits, 2022","","4",""
"Households, 2017-2021","","2,688",""
"Persons per household, 2017-2021","","2.63",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.3%",""
"Households with a computer, percent, 2017-2021","","89.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","85.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","89.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","11.9%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.1%",""
"Persons without health insurance, under age 65 years, percent","","5.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","54.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","50.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","8,404",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","18,088",""
"Total retail sales, 2017 ($1,000)","(c)","34,152",""
"Total retail sales per capita, 2017","(c)","$4,578",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","26.6",""
"Median household income (in 2021 dollars), 2017-2021","","$58,433",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$35,800",""
"Persons in poverty, percent","","14.3%",""
"Total employer establishments, 2021","","127",""
"Total employment, 2021","","2,009",""
"Total annual payroll, 2021 ($1,000)","","102,303",""
"Total employment, percent change, 2020-2021","","-6.9%",""
"Total nonemployer establishments, 2020","","257",""
"All employer firms, Reference year 2017","","84",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","45",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","52",""
"Population per square mile, 2020","","58.8",""
"Population per square mile, 2010","","58.5",""
"Land area in square miles, 2020","","130.12",""
"Land area in square miles, 2010","","130.10",""
"FIPS Code","","""54073""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
