"Fact","Fact Note","Preston County, West Virginia","Value Note for Preston County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","34,172",""
"Population estimates base, April 1, 2020, (V2022)","","34,214",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.1%",""
"Population, Census, April 1, 2020","","34,216",""
"Population, Census, April 1, 2010","","33,520",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","18.0%",""
"Persons 65 years and over, percent","","20.8%",""
"Female persons, percent","","47.0%",""
"White alone, percent","","96.6%",""
"Black or African American alone, percent","(a)","1.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.0%",""
"Hispanic or Latino, percent","(b)","1.5%",""
"White alone, not Hispanic or Latino, percent","","95.2%",""
"Veterans, 2017-2021","","2,174",""
"Foreign born persons, percent, 2017-2021","","1.2%",""
"Housing units, July 1, 2022, (V2022)","","15,227",""
"Owner-occupied housing unit rate, 2017-2021","","80.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$128,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,134",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$345",""
"Median gross rent, 2017-2021","","$672",""
"Building permits, 2022","","3",""
"Households, 2017-2021","","12,510",""
"Persons per household, 2017-2021","","2.53",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.7%",""
"Households with a computer, percent, 2017-2021","","87.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","80.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","87.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","16.8%",""
"With a disability, under age 65 years, percent, 2017-2021","","13.3%",""
"Persons without health insurance, under age 65 years, percent","","8.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","51.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","49.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","14,929",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","83,900",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","45,814",""
"Total retail sales, 2017 ($1,000)","(c)","253,570",""
"Total retail sales per capita, 2017","(c)","$7,492",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","31.6",""
"Median household income (in 2021 dollars), 2017-2021","","$55,755",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$26,504",""
"Persons in poverty, percent","","14.3%",""
"Total employer establishments, 2021","","510",""
"Total employment, 2021","","5,016",""
"Total annual payroll, 2021 ($1,000)","","202,014",""
"Total employment, percent change, 2020-2021","","-6.6%",""
"Total nonemployer establishments, 2020","","1,630",""
"All employer firms, Reference year 2017","","389",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","335",""
"Veteran-owned employer firms, Reference year 2017","","26",""
"Nonveteran-owned employer firms, Reference year 2017","","302",""
"Population per square mile, 2020","","52.7",""
"Population per square mile, 2010","","51.7",""
"Land area in square miles, 2020","","648.81",""
"Land area in square miles, 2010","","648.81",""
"FIPS Code","","""54077""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
