"Fact","Fact Note","Randolph County, West Virginia","Value Note for Randolph County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","27,600",""
"Population estimates base, April 1, 2020, (V2022)","","27,934",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.2%",""
"Population, Census, April 1, 2020","","27,932",""
"Population, Census, April 1, 2010","","29,405",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","18.1%",""
"Persons 65 years and over, percent","","22.7%",""
"Female persons, percent","","46.9%",""
"White alone, percent","","95.7%",""
"Black or African American alone, percent","(a)","2.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent","(b)","1.1%",""
"White alone, not Hispanic or Latino, percent","","94.9%",""
"Veterans, 2017-2021","","1,968",""
"Foreign born persons, percent, 2017-2021","","0.6%",""
"Housing units, July 1, 2022, (V2022)","","13,064",""
"Owner-occupied housing unit rate, 2017-2021","","73.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$116,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$948",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$314",""
"Median gross rent, 2017-2021","","$686",""
"Building permits, 2022","","24",""
"Households, 2017-2021","","10,065",""
"Persons per household, 2017-2021","","2.59",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","89.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.3%",""
"Households with a computer, percent, 2017-2021","","81.3%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","75.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","17.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.4%",""
"Persons without health insurance, under age 65 years, percent","","8.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","49.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","46.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","41,438",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","301,229",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","71,327",""
"Total retail sales, 2017 ($1,000)","(c)","379,538",""
"Total retail sales per capita, 2017","(c)","$13,135",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","22.1",""
"Median household income (in 2021 dollars), 2017-2021","","$47,343",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$24,888",""
"Persons in poverty, percent","","17.6%",""
"Total employer establishments, 2021","","649",""
"Total employment, 2021","","8,370",""
"Total annual payroll, 2021 ($1,000)","","308,487",""
"Total employment, percent change, 2020-2021","","-4.9%",""
"Total nonemployer establishments, 2020","","1,309",""
"All employer firms, Reference year 2017","","501",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","84",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","380",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","S",""
"Population per square mile, 2020","","26.9",""
"Population per square mile, 2010","","28.3",""
"Land area in square miles, 2020","","1,039.70",""
"Land area in square miles, 2010","","1,039.68",""
"FIPS Code","","""54083""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
