"Fact","Fact Note","Roane County, West Virginia","Value Note for Roane County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","13,834",""
"Population estimates base, April 1, 2020, (V2022)","","14,028",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.4%",""
"Population, Census, April 1, 2020","","14,028",""
"Population, Census, April 1, 2010","","14,926",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","20.0%",""
"Persons 65 years and over, percent","","23.6%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","97.4%",""
"Black or African American alone, percent","(a)","0.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent","(b)","1.2%",""
"White alone, not Hispanic or Latino, percent","","96.4%",""
"Veterans, 2017-2021","","1,055",""
"Foreign born persons, percent, 2017-2021","","0.6%",""
"Housing units, July 1, 2022, (V2022)","","7,162",""
"Owner-occupied housing unit rate, 2017-2021","","74.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$107,200",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$964",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$260",""
"Median gross rent, 2017-2021","","$514",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","5,376",""
"Persons per household, 2017-2021","","2.61",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","91.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.2%",""
"Households with a computer, percent, 2017-2021","","82.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","71.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","80.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","13.4%",""
"With a disability, under age 65 years, percent, 2017-2021","","20.7%",""
"Persons without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","41.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","38.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","7,787",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","61,571",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","136,433",""
"Total retail sales per capita, 2017","(c)","$9,731",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","33.4",""
"Median household income (in 2021 dollars), 2017-2021","","$38,608",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$23,291",""
"Persons in poverty, percent","","18.2%",""
"Total employer establishments, 2021","","223",""
"Total employment, 2021","","2,033",""
"Total annual payroll, 2021 ($1,000)","","83,763",""
"Total employment, percent change, 2020-2021","","16.1%",""
"Total nonemployer establishments, 2020","","617",""
"All employer firms, Reference year 2017","","195",""
"Men-owned employer firms, Reference year 2017","","97",""
"Women-owned employer firms, Reference year 2017","","29",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","158",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","110",""
"Population per square mile, 2020","","29.0",""
"Population per square mile, 2010","","30.9",""
"Land area in square miles, 2020","","483.56",""
"Land area in square miles, 2010","","483.56",""
"FIPS Code","","""54087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
