"Fact","Fact Note","Summers County, West Virginia","Value Note for Summers County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","11,762",""
"Population estimates base, April 1, 2020, (V2022)","","11,968",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.7%",""
"Population, Census, April 1, 2020","","11,959",""
"Population, Census, April 1, 2010","","13,927",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","15.5%",""
"Persons 65 years and over, percent","","27.9%",""
"Female persons, percent","","54.4%",""
"White alone, percent","","92.5%",""
"Black or African American alone, percent","(a)","4.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent","(b)","2.1%",""
"White alone, not Hispanic or Latino, percent","","90.9%",""
"Veterans, 2017-2021","","952",""
"Foreign born persons, percent, 2017-2021","","0.7%",""
"Housing units, July 1, 2022, (V2022)","","6,540",""
"Owner-occupied housing unit rate, 2017-2021","","76.4%",""
"Median value of owner-occupied housing units, 2017-2021","","$104,500",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$792",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$272",""
"Median gross rent, 2017-2021","","$748",""
"Building permits, 2022","","13",""
"Households, 2017-2021","","4,982",""
"Persons per household, 2017-2021","","2.28",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","87.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.6%",""
"Households with a computer, percent, 2017-2021","","77.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","69.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","84.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","17.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","22.8%",""
"Persons without health insurance, under age 65 years, percent","","8.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","38.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","33.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","8,534",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","34,551",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","8,849",""
"Total retail sales, 2017 ($1,000)","(c)","66,852",""
"Total retail sales per capita, 2017","(c)","$5,184",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","34.0",""
"Median household income (in 2021 dollars), 2017-2021","","$41,077",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$23,195",""
"Persons in poverty, percent","","24.8%",""
"Total employer establishments, 2021","","156",""
"Total employment, 2021","","1,457",""
"Total annual payroll, 2021 ($1,000)","","55,833",""
"Total employment, percent change, 2020-2021","","1.6%",""
"Total nonemployer establishments, 2020","","466",""
"All employer firms, Reference year 2017","","140",""
"Men-owned employer firms, Reference year 2017","","78",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","104",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","82",""
"Population per square mile, 2020","","33.2",""
"Population per square mile, 2010","","38.6",""
"Land area in square miles, 2020","","360.59",""
"Land area in square miles, 2010","","360.46",""
"FIPS Code","","""54089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
