"Fact","Fact Note","Taylor County, West Virginia","Value Note for Taylor County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","16,342",""
"Population estimates base, April 1, 2020, (V2022)","","16,701",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.1%",""
"Population, Census, April 1, 2020","","16,705",""
"Population, Census, April 1, 2010","","16,895",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","19.5%",""
"Persons 65 years and over, percent","","21.4%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","96.6%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent","(b)","1.0%",""
"White alone, not Hispanic or Latino, percent","","95.7%",""
"Veterans, 2017-2021","","1,500",""
"Foreign born persons, percent, 2017-2021","","0.7%",""
"Housing units, July 1, 2022, (V2022)","","7,443",""
"Owner-occupied housing unit rate, 2017-2021","","81.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$120,000",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$992",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$346",""
"Median gross rent, 2017-2021","","$674",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","6,557",""
"Persons per household, 2017-2021","","2.50",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","91.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.1%",""
"Households with a computer, percent, 2017-2021","","87.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","81.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","16.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.9%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","54.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","52.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","7,088",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","44,109",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","121,998",""
"Total retail sales per capita, 2017","(c)","$7,216",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","27.3",""
"Median household income (in 2021 dollars), 2017-2021","","$52,823",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$27,899",""
"Persons in poverty, percent","","16.0%",""
"Total employer establishments, 2021","","210",""
"Total employment, 2021","","2,346",""
"Total annual payroll, 2021 ($1,000)","","120,005",""
"Total employment, percent change, 2020-2021","","-1.5%",""
"Total nonemployer establishments, 2020","","703",""
"All employer firms, Reference year 2017","","216",""
"Men-owned employer firms, Reference year 2017","","98",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","169",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","139",""
"Population per square mile, 2020","","96.7",""
"Population per square mile, 2010","","97.8",""
"Land area in square miles, 2020","","172.77",""
"Land area in square miles, 2010","","172.77",""
"FIPS Code","","""54091""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
