"Fact","Fact Note","Wayne County, West Virginia","Value Note for Wayne County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","37,998",""
"Population estimates base, April 1, 2020, (V2022)","","38,983",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.5%",""
"Population, Census, April 1, 2020","","38,982",""
"Population, Census, April 1, 2010","","42,481",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.0%",""
"Persons 65 years and over, percent","","22.6%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","97.3%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent","(b)","0.8%",""
"White alone, not Hispanic or Latino, percent","","96.7%",""
"Veterans, 2017-2021","","2,304",""
"Foreign born persons, percent, 2017-2021","","1.0%",""
"Housing units, July 1, 2022, (V2022)","","18,283",""
"Owner-occupied housing unit rate, 2017-2021","","75.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$105,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,069",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$330",""
"Median gross rent, 2017-2021","","$761",""
"Building permits, 2022","","65",""
"Households, 2017-2021","","14,479",""
"Persons per household, 2017-2021","","2.71",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","91.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.4%",""
"Households with a computer, percent, 2017-2021","","84.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","73.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","81.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","17.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","18.7%",""
"Persons without health insurance, under age 65 years, percent","","8.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","45.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","44.8%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","36,468",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","312,739",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","102,282",""
"Total retail sales, 2017 ($1,000)","(c)","354,893",""
"Total retail sales per capita, 2017","(c)","$8,806",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.9",""
"Median household income (in 2021 dollars), 2017-2021","","$45,591",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$25,683",""
"Persons in poverty, percent","","16.2%",""
"Total employer establishments, 2021","","462",""
"Total employment, 2021","","6,322",""
"Total annual payroll, 2021 ($1,000)","","309,007",""
"Total employment, percent change, 2020-2021","","-3.7%",""
"Total nonemployer establishments, 2020","","1,459",""
"All employer firms, Reference year 2017","","419",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","S",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","S",""
"Population per square mile, 2020","","77.0",""
"Population per square mile, 2010","","84.0",""
"Land area in square miles, 2020","","506.01",""
"Land area in square miles, 2010","","505.98",""
"FIPS Code","","""54099""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
