"Fact","Fact Note","Webster County, West Virginia","Value Note for Webster County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","8,167",""
"Population estimates base, April 1, 2020, (V2022)","","8,380",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.5%",""
"Population, Census, April 1, 2020","","8,378",""
"Population, Census, April 1, 2010","","9,154",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.3%",""
"Persons 65 years and over, percent","","25.8%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","97.8%",""
"Black or African American alone, percent","(a)","0.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent","(b)","0.9%",""
"White alone, not Hispanic or Latino, percent","","97.0%",""
"Veterans, 2017-2021","","554",""
"Foreign born persons, percent, 2017-2021","","0.0%",""
"Housing units, July 1, 2022, (V2022)","","4,397",""
"Owner-occupied housing unit rate, 2017-2021","","75.0%",""
"Median value of owner-occupied housing units, 2017-2021","","$75,900",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$883",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$292",""
"Median gross rent, 2017-2021","","$611",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","2,964",""
"Persons per household, 2017-2021","","2.82",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","92.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.1%",""
"Households with a computer, percent, 2017-2021","","84.1%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","73.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","78.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","12.5%",""
"With a disability, under age 65 years, percent, 2017-2021","","15.9%",""
"Persons without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","42.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","38.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","31,864",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","43,747",""
"Total retail sales per capita, 2017","(c)","$5,240",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","31.6",""
"Median household income (in 2021 dollars), 2017-2021","","$37,720",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$19,672",""
"Persons in poverty, percent","","25.2%",""
"Total employer establishments, 2021","","112",""
"Total employment, 2021","","989",""
"Total annual payroll, 2021 ($1,000)","","35,971",""
"Total employment, percent change, 2020-2021","","0.6%",""
"Total nonemployer establishments, 2020","","272",""
"All employer firms, Reference year 2017","","S",""
"Men-owned employer firms, Reference year 2017","","S",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","S",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","S",""
"Population per square mile, 2020","","15.1",""
"Population per square mile, 2010","","16.5",""
"Land area in square miles, 2020","","553.47",""
"Land area in square miles, 2010","","553.47",""
"FIPS Code","","""54101""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
