"Fact","Fact Note","Wetzel County, West Virginia","Value Note for Wetzel County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","14,025",""
"Population estimates base, April 1, 2020, (V2022)","","14,441",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.9%",""
"Population, Census, April 1, 2020","","14,442",""
"Population, Census, April 1, 2010","","16,583",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","20.5%",""
"Persons 65 years and over, percent","","23.0%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","97.6%",""
"Black or African American alone, percent","(a)","0.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent","(b)","1.2%",""
"White alone, not Hispanic or Latino, percent","","96.6%",""
"Veterans, 2017-2021","","780",""
"Foreign born persons, percent, 2017-2021","","0.2%",""
"Housing units, July 1, 2022, (V2022)","","7,305",""
"Owner-occupied housing unit rate, 2017-2021","","81.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$100,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$935",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$331",""
"Median gross rent, 2017-2021","","$753",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","5,603",""
"Persons per household, 2017-2021","","2.58",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","92.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.3%",""
"Households with a computer, percent, 2017-2021","","82.2%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","73.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","88.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","14.5%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","45.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","37.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","59,393",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","98,280",""
"Total retail sales, 2017 ($1,000)","(c)","223,123",""
"Total retail sales per capita, 2017","(c)","$14,447",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","28.4",""
"Median household income (in 2021 dollars), 2017-2021","","$47,611",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$24,688",""
"Persons in poverty, percent","","16.4%",""
"Total employer establishments, 2021","","319",""
"Total employment, 2021","","3,944",""
"Total annual payroll, 2021 ($1,000)","","196,302",""
"Total employment, percent change, 2020-2021","","0.1%",""
"Total nonemployer establishments, 2020","","484",""
"All employer firms, Reference year 2017","","212",""
"Men-owned employer firms, Reference year 2017","","131",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","157",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","143",""
"Population per square mile, 2020","","40.3",""
"Population per square mile, 2010","","46.3",""
"Land area in square miles, 2020","","358.07",""
"Land area in square miles, 2010","","358.06",""
"FIPS Code","","""54103""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
