"Fact","Fact Note","Wirt County, West Virginia","Value Note for Wirt County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","5,091",""
"Population estimates base, April 1, 2020, (V2022)","","5,196",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.0%",""
"Population, Census, April 1, 2020","","5,194",""
"Population, Census, April 1, 2010","","5,717",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","21.4%",""
"Persons 65 years and over, percent","","23.0%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","97.1%",""
"Black or African American alone, percent","(a)","0.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent","(b)","0.9%",""
"White alone, not Hispanic or Latino, percent","","96.3%",""
"Veterans, 2017-2021","","431",""
"Foreign born persons, percent, 2017-2021","","0.1%",""
"Housing units, July 1, 2022, (V2022)","","2,725",""
"Owner-occupied housing unit rate, 2017-2021","","83.4%",""
"Median value of owner-occupied housing units, 2017-2021","","$97,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$800",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$276",""
"Median gross rent, 2017-2021","","$455",""
"Building permits, 2022","","11",""
"Households, 2017-2021","","2,081",""
"Persons per household, 2017-2021","","2.53",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","94.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.1%",""
"Households with a computer, percent, 2017-2021","","84.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","75.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","81.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","14.1%",""
"With a disability, under age 65 years, percent, 2017-2021","","19.8%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","49.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","52.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","NA",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","NA",""
"Total retail sales, 2017 ($1,000)","(c)","14,178",""
"Total retail sales per capita, 2017","(c)","$2,453",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","35.6",""
"Median household income (in 2021 dollars), 2017-2021","","$49,441",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$25,483",""
"Persons in poverty, percent","","17.7%",""
"Total employer establishments, 2021","","53",""
"Total employment, 2021","","334",""
"Total annual payroll, 2021 ($1,000)","","10,276",""
"Total employment, percent change, 2020-2021","","17.2%",""
"Total nonemployer establishments, 2020","","262",""
"All employer firms, Reference year 2017","","34",""
"Men-owned employer firms, Reference year 2017","","24",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","S",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","24",""
"Population per square mile, 2020","","22.3",""
"Population per square mile, 2010","","24.6",""
"Land area in square miles, 2020","","232.51",""
"Land area in square miles, 2010","","232.51",""
"FIPS Code","","""54105""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
