"Fact","Fact Note","Wood County, West Virginia","Value Note for Wood County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","83,340",""
"Population estimates base, April 1, 2020, (V2022)","","84,300",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.1%",""
"Population, Census, April 1, 2020","","84,296",""
"Population, Census, April 1, 2010","","86,956",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.7%",""
"Persons 65 years and over, percent","","21.7%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","95.5%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent","(b)","1.5%",""
"White alone, not Hispanic or Latino, percent","","94.4%",""
"Veterans, 2017-2021","","6,390",""
"Foreign born persons, percent, 2017-2021","","1.0%",""
"Housing units, July 1, 2022, (V2022)","","40,319",""
"Owner-occupied housing unit rate, 2017-2021","","73.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$129,600",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,000",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$337",""
"Median gross rent, 2017-2021","","$755",""
"Building permits, 2022","","55",""
"Households, 2017-2021","","35,220",""
"Persons per household, 2017-2021","","2.38",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","90.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.6%",""
"Households with a computer, percent, 2017-2021","","89.1%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","82.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","90.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","21.8%",""
"With a disability, under age 65 years, percent, 2017-2021","","13.1%",""
"Persons without health insurance, under age 65 years, percent","","7.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","54.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","50.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","D",""
"Total retail sales, 2017 ($1,000)","(c)","1,545,322",""
"Total retail sales per capita, 2017","(c)","$18,145",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","19.7",""
"Median household income (in 2021 dollars), 2017-2021","","$50,231",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$29,176",""
"Persons in poverty, percent","","14.7%",""
"Total employer establishments, 2021","","1,894",""
"Total employment, 2021","","28,207",""
"Total annual payroll, 2021 ($1,000)","","1,148,722",""
"Total employment, percent change, 2020-2021","","-2.3%",""
"Total nonemployer establishments, 2020","","3,754",""
"All employer firms, Reference year 2017","","1,635",""
"Men-owned employer firms, Reference year 2017","","958",""
"Women-owned employer firms, Reference year 2017","","235",""
"Minority-owned employer firms, Reference year 2017","","128",""
"Nonminority-owned employer firms, Reference year 2017","","1,199",""
"Veteran-owned employer firms, Reference year 2017","","75",""
"Nonveteran-owned employer firms, Reference year 2017","","1,209",""
"Population per square mile, 2020","","230.0",""
"Population per square mile, 2010","","237.4",""
"Land area in square miles, 2020","","366.50",""
"Land area in square miles, 2010","","366.26",""
"FIPS Code","","""54107""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
