"Fact","Fact Note","Wyoming County, West Virginia","Value Note for Wyoming County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","20,527",""
"Population estimates base, April 1, 2020, (V2022)","","21,387",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-4.0%",""
"Population, Census, April 1, 2020","","21,382",""
"Population, Census, April 1, 2010","","23,796",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","23.4%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","97.0%",""
"Black or African American alone, percent","(a)","0.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent","(b)","1.1%",""
"White alone, not Hispanic or Latino, percent","","96.3%",""
"Veterans, 2017-2021","","1,147",""
"Foreign born persons, percent, 2017-2021","","0.3%",""
"Housing units, July 1, 2022, (V2022)","","9,952",""
"Owner-occupied housing unit rate, 2017-2021","","85.2%",""
"Median value of owner-occupied housing units, 2017-2021","","$75,500",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$873",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$307",""
"Median gross rent, 2017-2021","","$659",""
"Building permits, 2022","","1",""
"Households, 2017-2021","","7,795",""
"Persons per household, 2017-2021","","2.76",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","92.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","0.5%",""
"Households with a computer, percent, 2017-2021","","79.4%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","73.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","77.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","11.6%",""
"With a disability, under age 65 years, percent, 2017-2021","","29.9%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","36.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","31.3%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","44,037",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","44,333",""
"Total retail sales, 2017 ($1,000)","(c)","133,192",""
"Total retail sales per capita, 2017","(c)","$6,260",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","27.7",""
"Median household income (in 2021 dollars), 2017-2021","","$44,630",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$22,237",""
"Persons in poverty, percent","","25.0%",""
"Total employer establishments, 2021","","273",""
"Total employment, 2021","","2,390",""
"Total annual payroll, 2021 ($1,000)","","89,677",""
"Total employment, percent change, 2020-2021","","-1.2%",""
"Total nonemployer establishments, 2020","","670",""
"All employer firms, Reference year 2017","","186",""
"Men-owned employer firms, Reference year 2017","","101",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","130",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","128",""
"Population per square mile, 2020","","42.8",""
"Population per square mile, 2010","","47.6",""
"Land area in square miles, 2020","","499.47",""
"Land area in square miles, 2010","","499.45",""
"FIPS Code","","""54109""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
