"Fact","Fact Note","Carbon County, Wyoming","Value Note for Carbon County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","14,542",""
"Population estimates base, April 1, 2020, (V2022)","","14,531",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.1%",""
"Population, Census, April 1, 2020","","14,537",""
"Population, Census, April 1, 2010","","15,885",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","18.9%",""
"Female persons, percent","","45.7%",""
"White alone, percent","","93.4%",""
"Black or African American alone, percent","(a)","1.2%",""
"American Indian and Alaska Native alone, percent","(a)","2.1%",""
"Asian alone, percent","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent","(b)","18.7%",""
"White alone, not Hispanic or Latino, percent","","76.5%",""
"Veterans, 2017-2021","","879",""
"Foreign born persons, percent, 2017-2021","","5.3%",""
"Housing units, July 1, 2022, (V2022)","","8,236",""
"Owner-occupied housing unit rate, 2017-2021","","70.2%",""
"Median value of owner-occupied housing units, 2017-2021","","$188,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,280",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$443",""
"Median gross rent, 2017-2021","","$722",""
"Building permits, 2022","","40",""
"Households, 2017-2021","","5,937",""
"Persons per household, 2017-2021","","2.36",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","82.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","13.3%",""
"Households with a computer, percent, 2017-2021","","91.3%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","85.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","90.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","20.1%",""
"With a disability, under age 65 years, percent, 2017-2021","","7.0%",""
"Persons without health insurance, under age 65 years, percent","","18.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","60.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","55.8%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","60,752",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","49,722",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","33,448",""
"Total retail sales, 2017 ($1,000)","(c)","270,258",""
"Total retail sales per capita, 2017","(c)","$17,709",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","14.2",""
"Median household income (in 2021 dollars), 2017-2021","","$62,654",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,151",""
"Persons in poverty, percent","","12.3%",""
"Total employer establishments, 2021","","507",""
"Total employment, 2021","","4,012",""
"Total annual payroll, 2021 ($1,000)","","211,837",""
"Total employment, percent change, 2020-2021","","-3.0%",""
"Total nonemployer establishments, 2020","","1,170",""
"All employer firms, Reference year 2017","","452",""
"Men-owned employer firms, Reference year 2017","","237",""
"Women-owned employer firms, Reference year 2017","","52",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","332",""
"Veteran-owned employer firms, Reference year 2017","","20",""
"Nonveteran-owned employer firms, Reference year 2017","","359",""
"Population per square mile, 2020","","1.8",""
"Population per square mile, 2010","","2.0",""
"Land area in square miles, 2020","","7,897.80",""
"Land area in square miles, 2010","","7,897.58",""
"FIPS Code","","""56007""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
