"Fact","Fact Note","Converse County, Wyoming","Value Note for Converse County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","13,786",""
"Population estimates base, April 1, 2020, (V2022)","","13,747",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.3%",""
"Population, Census, April 1, 2020","","13,751",""
"Population, Census, April 1, 2010","","13,833",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","18.6%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","95.1%",""
"Black or African American alone, percent","(a)","0.7%",""
"American Indian and Alaska Native alone, percent","(a)","1.4%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent","(b)","8.7%",""
"White alone, not Hispanic or Latino, percent","","87.9%",""
"Veterans, 2017-2021","","1,294",""
"Foreign born persons, percent, 2017-2021","","2.9%",""
"Housing units, July 1, 2022, (V2022)","","6,655",""
"Owner-occupied housing unit rate, 2017-2021","","80.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$227,200",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,546",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$442",""
"Median gross rent, 2017-2021","","$785",""
"Building permits, 2022","","4",""
"Households, 2017-2021","","5,636",""
"Persons per household, 2017-2021","","2.42",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","85.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","6.9%",""
"Households with a computer, percent, 2017-2021","","94.4%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","83.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","93.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","22.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","17.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","65.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","59.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","73,976",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","39,509",""
"Total retail sales, 2017 ($1,000)","(c)","106,749",""
"Total retail sales per capita, 2017","(c)","$7,760",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.9",""
"Median household income (in 2021 dollars), 2017-2021","","$73,698",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$37,234",""
"Persons in poverty, percent","","9.7%",""
"Total employer establishments, 2021","","433",""
"Total employment, 2021","","3,635",""
"Total annual payroll, 2021 ($1,000)","","217,408",""
"Total employment, percent change, 2020-2021","","-19.0%",""
"Total nonemployer establishments, 2020","","1,046",""
"All employer firms, Reference year 2017","","401",""
"Men-owned employer firms, Reference year 2017","","203",""
"Women-owned employer firms, Reference year 2017","","54",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","316",""
"Veteran-owned employer firms, Reference year 2017","","25",""
"Nonveteran-owned employer firms, Reference year 2017","","298",""
"Population per square mile, 2020","","3.2",""
"Population per square mile, 2010","","3.3",""
"Land area in square miles, 2020","","4,255.00",""
"Land area in square miles, 2010","","4,254.88",""
"FIPS Code","","""56009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
