"Fact","Fact Note","Hot Springs County, Wyoming","Value Note for Hot Springs County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","4,588",""
"Population estimates base, April 1, 2020, (V2022)","","4,618",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.6%",""
"Population, Census, April 1, 2020","","4,621",""
"Population, Census, April 1, 2010","","4,812",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","20.6%",""
"Persons 65 years and over, percent","","29.0%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","93.6%",""
"Black or African American alone, percent","(a)","1.2%",""
"American Indian and Alaska Native alone, percent","(a)","2.2%",""
"Asian alone, percent","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent","(b)","4.7%",""
"White alone, not Hispanic or Latino, percent","","89.6%",""
"Veterans, 2017-2021","","460",""
"Foreign born persons, percent, 2017-2021","","0.4%",""
"Housing units, July 1, 2022, (V2022)","","2,557",""
"Owner-occupied housing unit rate, 2017-2021","","74.5%",""
"Median value of owner-occupied housing units, 2017-2021","","$178,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,229",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$419",""
"Median gross rent, 2017-2021","","$734",""
"Building permits, 2022","","X",""
"Households, 2017-2021","","2,085",""
"Persons per household, 2017-2021","","2.21",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","84.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","3.7%",""
"Households with a computer, percent, 2017-2021","","93.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","83.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","95.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","24.7%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.7%",""
"Persons without health insurance, under age 65 years, percent","","16.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","59.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","52.0%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","11,620",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","35,964",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","11,217",""
"Total retail sales, 2017 ($1,000)","(c)","31,690",""
"Total retail sales per capita, 2017","(c)","$6,753",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","15.7",""
"Median household income (in 2021 dollars), 2017-2021","","$60,805",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,551",""
"Persons in poverty, percent","","13.1%",""
"Total employer establishments, 2021","","177",""
"Total employment, 2021","","1,437",""
"Total annual payroll, 2021 ($1,000)","","64,738",""
"Total employment, percent change, 2020-2021","","-5.1%",""
"Total nonemployer establishments, 2020","","406",""
"All employer firms, Reference year 2017","","180",""
"Men-owned employer firms, Reference year 2017","","72",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","154",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","142",""
"Population per square mile, 2020","","2.3",""
"Population per square mile, 2010","","2.4",""
"Land area in square miles, 2020","","2,004.43",""
"Land area in square miles, 2010","","2,004.09",""
"FIPS Code","","""56017""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
