"Fact","Fact Note","Johnson County, Wyoming","Value Note for Johnson County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","8,730",""
"Population estimates base, April 1, 2020, (V2022)","","8,451",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","3.3%",""
"Population, Census, April 1, 2020","","8,447",""
"Population, Census, April 1, 2010","","8,569",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","20.5%",""
"Persons 65 years and over, percent","","27.1%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","93.7%",""
"Black or African American alone, percent","(a)","0.9%",""
"American Indian and Alaska Native alone, percent","(a)","1.9%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent","(b)","5.5%",""
"White alone, not Hispanic or Latino, percent","","89.7%",""
"Veterans, 2017-2021","","733",""
"Foreign born persons, percent, 2017-2021","","1.5%",""
"Housing units, July 1, 2022, (V2022)","","4,668",""
"Owner-occupied housing unit rate, 2017-2021","","74.3%",""
"Median value of owner-occupied housing units, 2017-2021","","$255,500",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,575",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$462",""
"Median gross rent, 2017-2021","","$944",""
"Building permits, 2022","","18",""
"Households, 2017-2021","","3,825",""
"Persons per household, 2017-2021","","2.18",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","84.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.7%",""
"Households with a computer, percent, 2017-2021","","91.9%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","85.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","95.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","36.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","9.0%",""
"Persons without health insurance, under age 65 years, percent","","10.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","59.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","58.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","23,113",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","31,922",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","9,979",""
"Total retail sales, 2017 ($1,000)","(c)","87,281",""
"Total retail sales per capita, 2017","(c)","$10,321",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","18.5",""
"Median household income (in 2021 dollars), 2017-2021","","$58,020",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$34,737",""
"Persons in poverty, percent","","10.0%",""
"Total employer establishments, 2021","","526",""
"Total employment, 2021","","2,560",""
"Total annual payroll, 2021 ($1,000)","","109,766",""
"Total employment, percent change, 2020-2021","","6.4%",""
"Total nonemployer establishments, 2020","","1,361",""
"All employer firms, Reference year 2017","","480",""
"Men-owned employer firms, Reference year 2017","","223",""
"Women-owned employer firms, Reference year 2017","","81",""
"Minority-owned employer firms, Reference year 2017","","25",""
"Nonminority-owned employer firms, Reference year 2017","","414",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","384",""
"Population per square mile, 2020","","2.0",""
"Population per square mile, 2010","","2.1",""
"Land area in square miles, 2020","","4,154.15",""
"Land area in square miles, 2010","","4,154.15",""
"FIPS Code","","""56019""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
