"Fact","Fact Note","Lincoln County, Wyoming","Value Note for Lincoln County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","20,660",""
"Population estimates base, April 1, 2020, (V2022)","","19,582",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","5.5%",""
"Population, Census, April 1, 2020","","19,581",""
"Population, Census, April 1, 2010","","18,106",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","25.2%",""
"Persons 65 years and over, percent","","19.7%",""
"Female persons, percent","","48.4%",""
"White alone, percent","","95.8%",""
"Black or African American alone, percent","(a)","0.6%",""
"American Indian and Alaska Native alone, percent","(a)","1.1%",""
"Asian alone, percent","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent","(b)","5.4%",""
"White alone, not Hispanic or Latino, percent","","91.3%",""
"Veterans, 2017-2021","","1,306",""
"Foreign born persons, percent, 2017-2021","","2.7%",""
"Housing units, July 1, 2022, (V2022)","","9,962",""
"Owner-occupied housing unit rate, 2017-2021","","79.6%",""
"Median value of owner-occupied housing units, 2017-2021","","$283,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,549",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$401",""
"Median gross rent, 2017-2021","","$740",""
"Building permits, 2022","","277",""
"Households, 2017-2021","","7,383",""
"Persons per household, 2017-2021","","2.62",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","87.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","4.0%",""
"Households with a computer, percent, 2017-2021","","96.6%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","89.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","93.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","23.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","7.5%",""
"Persons without health insurance, under age 65 years, percent","","19.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","66.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","62.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","24,972",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","80,390",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","64,939",""
"Total retail sales, 2017 ($1,000)","(c)","213,461",""
"Total retail sales per capita, 2017","(c)","$11,041",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","24.5",""
"Median household income (in 2021 dollars), 2017-2021","","$74,835",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$33,487",""
"Persons in poverty, percent","","7.6%",""
"Total employer establishments, 2021","","886",""
"Total employment, 2021","","5,666",""
"Total annual payroll, 2021 ($1,000)","","304,443",""
"Total employment, percent change, 2020-2021","","5.0%",""
"Total nonemployer establishments, 2020","","2,383",""
"All employer firms, Reference year 2017","","667",""
"Men-owned employer firms, Reference year 2017","","376",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","28",""
"Nonminority-owned employer firms, Reference year 2017","","583",""
"Veteran-owned employer firms, Reference year 2017","","51",""
"Nonveteran-owned employer firms, Reference year 2017","","551",""
"Population per square mile, 2020","","4.8",""
"Population per square mile, 2010","","4.4",""
"Land area in square miles, 2020","","4,075.34",""
"Land area in square miles, 2010","","4,076.13",""
"FIPS Code","","""56023""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
