"Fact","Fact Note","Park County, Wyoming","Value Note for Park County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","30,518",""
"Population estimates base, April 1, 2020, (V2022)","","29,625",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","3.0%",""
"Population, Census, April 1, 2020","","29,624",""
"Population, Census, April 1, 2010","","28,205",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","20.4%",""
"Persons 65 years and over, percent","","25.1%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","95.5%",""
"Black or African American alone, percent","(a)","0.7%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent","(b)","6.3%",""
"White alone, not Hispanic or Latino, percent","","90.1%",""
"Veterans, 2017-2021","","2,328",""
"Foreign born persons, percent, 2017-2021","","2.5%",""
"Housing units, July 1, 2022, (V2022)","","15,015",""
"Owner-occupied housing unit rate, 2017-2021","","71.9%",""
"Median value of owner-occupied housing units, 2017-2021","","$290,600",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,527",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$464",""
"Median gross rent, 2017-2021","","$874",""
"Building permits, 2022","","235",""
"Households, 2017-2021","","12,607",""
"Persons per household, 2017-2021","","2.30",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","84.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","3.7%",""
"Households with a computer, percent, 2017-2021","","95.1%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","87.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","95.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","33.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","8.0%",""
"Persons without health insurance, under age 65 years, percent","","13.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","57.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","218,857",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","243,726",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","41,036",""
"Total retail sales, 2017 ($1,000)","(c)","459,337",""
"Total retail sales per capita, 2017","(c)","$15,692",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","15.4",""
"Median household income (in 2021 dollars), 2017-2021","","$62,586",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$35,230",""
"Persons in poverty, percent","","11.4%",""
"Total employer establishments, 2021","","1,286",""
"Total employment, 2021","","9,827",""
"Total annual payroll, 2021 ($1,000)","","440,324",""
"Total employment, percent change, 2020-2021","","1.4%",""
"Total nonemployer establishments, 2020","","3,375",""
"All employer firms, Reference year 2017","","1,092",""
"Men-owned employer firms, Reference year 2017","","523",""
"Women-owned employer firms, Reference year 2017","","176",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","912",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","858",""
"Population per square mile, 2020","","4.3",""
"Population per square mile, 2010","","4.1",""
"Land area in square miles, 2020","","6,939.04",""
"Land area in square miles, 2010","","6,942.08",""
"FIPS Code","","""56029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
