"Fact","Fact Note","Sheridan County, Wyoming","Value Note for Sheridan County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","32,096",""
"Population estimates base, April 1, 2020, (V2022)","","30,925",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","3.8%",""
"Population, Census, April 1, 2020","","30,921",""
"Population, Census, April 1, 2010","","29,116",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","20.6%",""
"Persons 65 years and over, percent","","23.1%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","95.3%",""
"Black or African American alone, percent","(a)","0.7%",""
"American Indian and Alaska Native alone, percent","(a)","1.4%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent","(b)","5.2%",""
"White alone, not Hispanic or Latino, percent","","91.0%",""
"Veterans, 2017-2021","","2,655",""
"Foreign born persons, percent, 2017-2021","","2.2%",""
"Housing units, July 1, 2022, (V2022)","","15,477",""
"Owner-occupied housing unit rate, 2017-2021","","68.6%",""
"Median value of owner-occupied housing units, 2017-2021","","$289,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,620",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$479",""
"Median gross rent, 2017-2021","","$868",""
"Building permits, 2022","","346",""
"Households, 2017-2021","","13,003",""
"Persons per household, 2017-2021","","2.30",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","83.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","3.0%",""
"Households with a computer, percent, 2017-2021","","88.8%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","84.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","95.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","31.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","7.5%",""
"Persons without health insurance, under age 65 years, percent","","14.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","62.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","58.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","86,244",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","305,769",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","69,233",""
"Total retail sales, 2017 ($1,000)","(c)","545,560",""
"Total retail sales per capita, 2017","(c)","$18,052",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","16.0",""
"Median household income (in 2021 dollars), 2017-2021","","$62,531",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$37,291",""
"Persons in poverty, percent","","9.5%",""
"Total employer establishments, 2021","","1,941",""
"Total employment, 2021","","12,450",""
"Total annual payroll, 2021 ($1,000)","","647,623",""
"Total employment, percent change, 2020-2021","","6.2%",""
"Total nonemployer establishments, 2020","","5,077",""
"All employer firms, Reference year 2017","","1,093",""
"Men-owned employer firms, Reference year 2017","","546",""
"Women-owned employer firms, Reference year 2017","","195",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","891",""
"Veteran-owned employer firms, Reference year 2017","","41",""
"Nonveteran-owned employer firms, Reference year 2017","","896",""
"Population per square mile, 2020","","12.3",""
"Population per square mile, 2010","","11.5",""
"Land area in square miles, 2020","","2,523.36",""
"Land area in square miles, 2010","","2,523.99",""
"FIPS Code","","""56033""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
