"Fact","Fact Note","Sweetwater County, Wyoming","Value Note for Sweetwater County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","41,345",""
"Population estimates base, April 1, 2020, (V2022)","","42,267",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.2%",""
"Population, Census, April 1, 2020","","42,272",""
"Population, Census, April 1, 2010","","43,806",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","14.9%",""
"Female persons, percent","","48.1%",""
"White alone, percent","","93.9%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","1.5%",""
"Asian alone, percent","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent","(b)","16.6%",""
"White alone, not Hispanic or Latino, percent","","78.8%",""
"Veterans, 2017-2021","","2,940",""
"Foreign born persons, percent, 2017-2021","","5.5%",""
"Housing units, July 1, 2022, (V2022)","","19,274",""
"Owner-occupied housing unit rate, 2017-2021","","74.5%",""
"Median value of owner-occupied housing units, 2017-2021","","$217,300",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,457",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$393",""
"Median gross rent, 2017-2021","","$859",""
"Building permits, 2022","","33",""
"Households, 2017-2021","","15,529",""
"Persons per household, 2017-2021","","2.70",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","82.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","9.7%",""
"Households with a computer, percent, 2017-2021","","95.3%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","88.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","92.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","19.4%",""
"With a disability, under age 65 years, percent, 2017-2021","","13.1%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","68.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","60.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","97,995",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","169,525",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","210,507",""
"Total retail sales, 2017 ($1,000)","(c)","835,433",""
"Total retail sales per capita, 2017","(c)","$19,134",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","20.1",""
"Median household income (in 2021 dollars), 2017-2021","","$76,668",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$36,233",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2021","","1,175",""
"Total employment, 2021","","14,288",""
"Total annual payroll, 2021 ($1,000)","","925,172",""
"Total employment, percent change, 2020-2021","","-5.4%",""
"Total nonemployer establishments, 2020","","2,222",""
"All employer firms, Reference year 2017","","1,026",""
"Men-owned employer firms, Reference year 2017","","489",""
"Women-owned employer firms, Reference year 2017","","142",""
"Minority-owned employer firms, Reference year 2017","","52",""
"Nonminority-owned employer firms, Reference year 2017","","776",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","755",""
"Population per square mile, 2020","","4.1",""
"Population per square mile, 2010","","4.2",""
"Land area in square miles, 2020","","10,426.98",""
"Land area in square miles, 2010","","10,426.65",""
"FIPS Code","","""56037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
