"Fact","Fact Note","Washakie County, Wyoming","Value Note for Washakie County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","7,719",""
"Population estimates base, April 1, 2020, (V2022)","","7,682",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.5%",""
"Population, Census, April 1, 2020","","7,685",""
"Population, Census, April 1, 2010","","8,533",""
"Persons under 5 years, percent","","4.9%",""
"Persons under 18 years, percent","","20.8%",""
"Persons 65 years and over, percent","","23.8%",""
"Female persons, percent","","48.5%",""
"White alone, percent","","94.4%",""
"Black or African American alone, percent","(a)","0.5%",""
"American Indian and Alaska Native alone, percent","(a)","1.7%",""
"Asian alone, percent","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent","(b)","14.2%",""
"White alone, not Hispanic or Latino, percent","","82.1%",""
"Veterans, 2017-2021","","567",""
"Foreign born persons, percent, 2017-2021","","1.0%",""
"Housing units, July 1, 2022, (V2022)","","3,852",""
"Owner-occupied housing unit rate, 2017-2021","","72.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$178,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,277",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$464",""
"Median gross rent, 2017-2021","","$621",""
"Building permits, 2022","","5",""
"Households, 2017-2021","","3,370",""
"Persons per household, 2017-2021","","2.26",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","90.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","6.3%",""
"Households with a computer, percent, 2017-2021","","91.8%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","85.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","94.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","26.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","7.7%",""
"Persons without health insurance, under age 65 years, percent","","18.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","63.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","60.9%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","10,638",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","49,543",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","40,529",""
"Total retail sales, 2017 ($1,000)","(c)","89,316",""
"Total retail sales per capita, 2017","(c)","$11,146",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","11.6",""
"Median household income (in 2021 dollars), 2017-2021","","$62,271",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,032",""
"Persons in poverty, percent","","10.2%",""
"Total employer establishments, 2021","","321",""
"Total employment, 2021","","2,349",""
"Total annual payroll, 2021 ($1,000)","","103,640",""
"Total employment, percent change, 2020-2021","","-2.9%",""
"Total nonemployer establishments, 2020","","664",""
"All employer firms, Reference year 2017","","259",""
"Men-owned employer firms, Reference year 2017","","124",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","203",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","184",""
"Population per square mile, 2020","","3.4",""
"Population per square mile, 2010","","3.8",""
"Land area in square miles, 2020","","2,238.68",""
"Land area in square miles, 2010","","2,238.55",""
"FIPS Code","","""56043""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
