"Fact","Fact Note","Weston County, Wyoming","Value Note for Weston County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","6,860",""
"Population estimates base, April 1, 2020, (V2022)","","6,840",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.3%",""
"Population, Census, April 1, 2020","","6,838",""
"Population, Census, April 1, 2010","","7,208",""
"Persons under 5 years, percent","","4.3%",""
"Persons under 18 years, percent","","19.0%",""
"Persons 65 years and over, percent","","22.9%",""
"Female persons, percent","","44.6%",""
"White alone, percent","","92.8%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","2.1%",""
"Asian alone, percent","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent","(b)","5.5%",""
"White alone, not Hispanic or Latino, percent","","88.6%",""
"Veterans, 2017-2021","","577",""
"Foreign born persons, percent, 2017-2021","","1.6%",""
"Housing units, July 1, 2022, (V2022)","","3,410",""
"Owner-occupied housing unit rate, 2017-2021","","87.0%",""
"Median value of owner-occupied housing units, 2017-2021","","$174,500",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,382",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$477",""
"Median gross rent, 2017-2021","","$726",""
"Building permits, 2022","","2",""
"Households, 2017-2021","","2,754",""
"Persons per household, 2017-2021","","2.40",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","84.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","1.7%",""
"Households with a computer, percent, 2017-2021","","91.0%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","81.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","92.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","18.4%",""
"With a disability, under age 65 years, percent, 2017-2021","","8.8%",""
"Persons without health insurance, under age 65 years, percent","","16.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","56.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","49.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","7,118",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","31,160",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","53,375",""
"Total retail sales, 2017 ($1,000)","(c)","78,384",""
"Total retail sales per capita, 2017","(c)","$11,259",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","26.9",""
"Median household income (in 2021 dollars), 2017-2021","","$65,566",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,190",""
"Persons in poverty, percent","","10.4%",""
"Total employer establishments, 2021","","205",""
"Total employment, 2021","","1,435",""
"Total annual payroll, 2021 ($1,000)","","67,366",""
"Total employment, percent change, 2020-2021","","-6.8%",""
"Total nonemployer establishments, 2020","","593",""
"All employer firms, Reference year 2017","","S",""
"Men-owned employer firms, Reference year 2017","","95",""
"Women-owned employer firms, Reference year 2017","","S",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","159",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","120",""
"Population per square mile, 2020","","2.9",""
"Population per square mile, 2010","","3.0",""
"Land area in square miles, 2020","","2,398.01",""
"Land area in square miles, 2010","","2,398.09",""
"FIPS Code","","""56045""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
